fips,date,hospitalBedsRequired,hospitalBedCapacity,ICUBedsInUse,ICUBedCapacity,ventilatorsInUse,ventilatorCapacity,RtIndicator,RtIndicatorCI90,cumulativeDeaths,cumulativeInfected,currentInfected,currentSusceptible,currentExposed,cumulativePositiveTests,cumulativeNegativeTests,fips_char,county
2020,2020-03-11,0,808,0,21,0,72,,,0,0,25,287943,31,0,0,02020,Anchorage
2020,2020-03-12,0,808,0,21,0,72,,,0,13,33,287922,37,1,,02020,Anchorage
2020,2020-03-13,0,808,0,21,0,72,,,0,31,43,287895,47,1,,02020,Anchorage
2020,2020-03-14,0,808,0,21,0,72,,,0,52,54,287862,59,1,,02020,Anchorage
2020,2020-03-15,0,808,0,21,0,72,,,0,79,69,287819,74,1,,02020,Anchorage
2020,2020-03-16,0,808,0,21,0,72,,,0,114,87,287765,94,1,,02020,Anchorage
2020,2020-03-17,0,808,0,21,0,72,1.5,4,0,157,110,287698,118,2,,02020,Anchorage
2020,2020-03-18,1,808,0,21,0,72,1.48,3.32,0,211,138,287618,144,4,,02020,Anchorage
2020,2020-03-19,1,808,0,21,0,72,1.74,3.2,0,275,171,287526,172,4,,02020,Anchorage
2020,2020-03-20,1,808,0,21,0,72,1.66,2.64,0,352,209,287419,202,4,,02020,Anchorage
2020,2020-03-21,2,808,0,21,0,72,1.84,2.38,0,441,251,287298,234,5,,02020,Anchorage
2020,2020-03-22,2,808,0,21,0,72,1.96,2.06,0,543,297,287164,266,6,,02020,Anchorage
2020,2020-03-23,3,808,1,21,0,72,1.8,1.8,0,657,346,287019,296,17,,02020,Anchorage
2020,2020-03-24,3,808,1,21,0,72,1.86,1.62,0,784,396,286866,323,9,1124,02020,Anchorage
2020,2020-03-25,4,808,1,21,0,72,1.74,1.46,0,920,447,286707,345,19,1385,02020,Anchorage
2020,2020-03-26,5,808,1,21,1,72,1.64,1.34,0,1065,495,286548,360,26,1698,02020,Anchorage
2020,2020-03-27,6,808,1,21,1,72,1.58,1.24,0,1213,538,286392,367,35,1890,02020,Anchorage
2020,2020-03-28,6,808,2,21,1,72,1.54,1.16,0,1363,574,286245,365,39,2139,02020,Anchorage
2020,2020-03-29,7,808,2,21,1,72,1.48,1.12,0,1510,600,286111,352,39,2142,02020,Anchorage
2020,2020-03-30,8,808,2,21,1,72,1.46,1.06,0,1649,615,285995,329,55,2470,02020,Anchorage
2020,2020-03-31,8,808,2,21,1,72,1.42,1.02,0,1778,618,285888,306,59,2586,02020,Anchorage
2020,2020-04-01,9,808,3,21,1,72,1.4,0.98,0,1900,614,285782,291,59,2766,02020,Anchorage
2020,2020-04-02,10,808,3,21,2,72,1.36,0.96,0,2016,606,285677,279,66,,02020,Anchorage
2020,2020-04-03,10,808,3,21,2,72,1.34,0.92,0,2129,595,285574,270,73,,02020,Anchorage
2020,2020-04-04,10,808,3,21,2,72,1.32,0.9,0,2237,584,285472,263,81,,02020,Anchorage
2020,2020-04-05,11,808,3,21,2,72,1.32,0.86,0,2344,572,285373,256,85,,02020,Anchorage
2020,2020-04-06,11,808,3,21,2,72,1.3,0.84,0,2447,559,285275,250,88,,02020,Anchorage
2020,2020-04-07,11,808,3,21,2,72,1.28,0.84,0,2548,547,285180,245,98,,02020,Anchorage
2020,2020-04-08,11,808,3,21,2,72,1.28,0.8,0,2647,535,285087,239,103,,02020,Anchorage
2020,2020-04-09,11,808,3,21,2,72,1.26,0.8,0,2743,524,284996,234,109,,02020,Anchorage
2020,2020-04-10,11,808,3,21,2,72,1.3,0.78,0,2838,512,284906,228,112,,02020,Anchorage
2020,2020-04-11,11,808,3,21,2,72,1.28,0.76,0,2930,501,284819,223,121,,02020,Anchorage
2020,2020-04-12,11,808,3,21,2,72,1.22,0.76,0,3020,490,284734,218,127,,02020,Anchorage
2020,2020-04-13,11,808,3,21,2,72,1.22,0.74,0,3109,479,284650,214,131,,02020,Anchorage
2020,2020-04-14,11,808,3,21,2,72,1.22,0.72,0,3195,469,284569,209,136,,02020,Anchorage
