Continent,Country,Province,Day,Total.Detected,Active,Active.Hospitalized,Cumulative.Hospitalized,Total.Detected.Deaths,Active.Ventilated,date
North America,US,Alaska,2020-06-18,619,89,19,91,13,3,2020-06-18
North America,US,Alaska,2020-06-19,624,88,19,92,13,3,2020-06-19
North America,US,Alaska,2020-06-20,629,88,19,93,13,3,2020-06-20
North America,US,Alaska,2020-06-21,635,87,18,93,13,3,2020-06-21
North America,US,Alaska,2020-06-22,640,87,18,94,13,3,2020-06-22
North America,US,Alaska,2020-06-23,645,86,18,95,13,3,2020-06-23
North America,US,Alaska,2020-06-24,650,86,18,96,13,3,2020-06-24
North America,US,Alaska,2020-06-25,655,86,18,97,13,3,2020-06-25
North America,US,Alaska,2020-06-26,660,85,18,97,14,3,2020-06-26
North America,US,Alaska,2020-06-27,666,85,18,98,14,3,2020-06-27
North America,US,Alaska,2020-06-28,671,84,18,99,14,3,2020-06-28
North America,US,Alaska,2020-06-29,676,84,18,100,14,3,2020-06-29
North America,US,Alaska,2020-06-30,680,83,18,100,14,3,2020-06-30
North America,US,Alaska,2020-07-01,685,83,18,101,14,3,2020-07-01
North America,US,Alaska,2020-07-02,690,82,18,102,14,3,2020-07-02
North America,US,Alaska,2020-07-03,695,81,17,102,14,3,2020-07-03
North America,US,Alaska,2020-07-04,700,81,17,103,14,3,2020-07-04
North America,US,Alaska,2020-07-05,704,80,17,104,14,3,2020-07-05
North America,US,Alaska,2020-07-06,709,80,17,105,14,3,2020-07-06
North America,US,Alaska,2020-07-07,714,79,17,105,14,3,2020-07-07
North America,US,Alaska,2020-07-08,718,79,17,106,15,3,2020-07-08
North America,US,Alaska,2020-07-09,723,78,17,107,15,3,2020-07-09
North America,US,Alaska,2020-07-10,727,78,17,107,15,3,2020-07-10
North America,US,Alaska,2020-07-11,732,77,17,108,15,3,2020-07-11
North America,US,Alaska,2020-07-12,736,76,16,109,15,3,2020-07-12
North America,US,Alaska,2020-07-13,741,76,16,109,15,3,2020-07-13
North America,US,Alaska,2020-07-14,745,75,16,110,15,3,2020-07-14
North America,US,Alaska,2020-07-15,749,75,16,111,15,3,2020-07-15
North America,US,Alaska,2020-07-16,753,74,16,111,15,3,2020-07-16
North America,US,Alaska,2020-07-17,758,73,16,112,15,3,2020-07-17
North America,US,Alaska,2020-07-18,762,73,16,112,15,3,2020-07-18
North America,US,Alaska,2020-07-19,766,72,16,113,15,2,2020-07-19
North America,US,Alaska,2020-07-20,770,71,16,114,15,2,2020-07-20
North America,US,Alaska,2020-07-21,774,71,15,114,16,2,2020-07-21
North America,US,Alaska,2020-07-22,778,70,15,115,16,2,2020-07-22
North America,US,Alaska,2020-07-23,782,69,15,115,16,2,2020-07-23
North America,US,Alaska,2020-07-24,786,69,15,116,16,2,2020-07-24
North America,US,Alaska,2020-07-25,790,68,15,117,16,2,2020-07-25
North America,US,Alaska,2020-07-26,793,68,15,117,16,2,2020-07-26
North America,US,Alaska,2020-07-27,797,67,15,118,16,2,2020-07-27
North America,US,Alaska,2020-07-28,801,66,14,118,16,2,2020-07-28
North America,US,Alaska,2020-07-29,804,66,14,119,16,2,2020-07-29
North America,US,Alaska,2020-07-30,808,65,14,119,16,2,2020-07-30
North America,US,Alaska,2020-07-31,811,64,14,120,16,2,2020-07-31
North America,US,Alaska,2020-08-01,815,64,14,120,16,2,2020-08-01
North America,US,Alaska,2020-08-02,818,63,14,121,16,2,2020-08-02
North America,US,Alaska,2020-08-03,822,62,14,121,16,2,2020-08-03
North America,US,Alaska,2020-08-04,825,62,14,122,16,2,2020-08-04
North America,US,Alaska,2020-08-05,829,61,13,122,17,2,2020-08-05
North America,US,Alaska,2020-08-06,832,60,13,123,17,2,2020-08-06
North America,US,Alaska,2020-08-07,835,60,13,123,17,2,2020-08-07
North America,US,Alaska,2020-08-08,838,59,13,124,17,2,2020-08-08
North America,US,Alaska,2020-08-09,841,58,13,124,17,2,2020-08-09
North America,US,Alaska,2020-08-10,844,58,13,125,17,2,2020-08-10
North America,US,Alaska,2020-08-11,847,57,13,125,17,2,2020-08-11
North America,US,Alaska,2020-08-12,851,56,12,126,17,2,2020-08-12
North America,US,Alaska,2020-08-13,853,56,12,126,17,2,2020-08-13
North America,US,Alaska,2020-08-14,856,55,12,127,17,2,2020-08-14
North America,US,Alaska,2020-08-15,859,54,12,127,17,2,2020-08-15
