"amt_ICU beds needed|Mitigated",date,dataKey,hospital_capacity,icu_capacity,"range_ICU beds needed|Mitigated",epi_week,"amt_Hospital beds needed|Mitigated","range_Hospital beds needed|Mitigated","amt_New Deaths|Mitigated","range_New Deaths|Mitigated","amt_Total Deaths|Mitigated","range_Total Deaths|Mitigated","amt_New Infectious|Mitigated","range_New Infectious|Mitigated","amt_Total Infectious|Mitigated","range_Total Infectious|Mitigated","amt_New Attack Rate|Mitigated","range_New Attack Rate|Mitigated","amt_Attack Rate|Mitigated","range_Attack Rate|Mitigated","amt_New Deaths per 10,000|Mitigated","range_New Deaths per 10,000|Mitigated","amt_Total Deaths per 10,000|Mitigated","range_Total Deaths per 10,000|Mitigated","amt_New Infectious per 10,000|Mitigated","range_New Infectious per 10,000|Mitigated","amt_Total Infectious per 10,000|Mitigated","range_Total Infectious per 10,000|Mitigated"
0.0106520409844055,2020-03-19,"Total Infectious per 10,000|Mitigated",1542,193,0|2,2020-12,0.0515843303286654,0|3,0,0|0,0,0|0,0,0|0,0,0|0,0,0|0,0,0|0,0,0|0,0,0|0,0,0|0,0,0|0
0.0136821809966061,2020-03-20,"Hospital beds needed|Mitigated",1542,193,0|2,2020-12,0.0654012142060587,0|3,0.00266115446091655,0|0.1565034,0.00266115446091655,0|0.1565034,1.80320438354228,0|24,1.80320438354228,0|24,2.35123663528237e-06,0|3.12941116169673e-05,2.35123663528237e-06,0|3.12941116169673e-05,3.46993603041304e-05,0|0.00204068119501454,3.46993603041304e-05,0|0.00204068119501454,0.0235123663528237,0|0.312941116169673,0.0235123663528237,0|0.312941116169673
0.0181609737254596,2020-03-21,"Hospital beds needed|Mitigated",1542,193,0|2,2020-12,0.0842583966058693,0|4,0.00311698116728335,0|0.1549152,0.00577813562819998,0|0.2242623,2.1437067831856,0|24,3.94691116672788,0|41,2.79522497279417e-06,0|3.12941116169673e-05,5.14646160807654e-06,0|5.34607740123192e-05,4.06429818987293e-05,0|0.00201997231665201,7.53423422028607e-05,0|0.00292420393653242,0.0279522497279417,0|0.312941116169673,0.0514646160807654,0|0.534607740123192
0.0226041349070154,2020-03-22,"Hospital beds needed|Mitigated",1542,193,0|2,2020-13,0.106767412679096,0|4,0.00359889093055637,0|0.1813869,0.00937702655875618,0|0.2386893,2.462872281377,0|25,6.40978344810501,0|58,3.21139166965611e-06,0|3.2598032934341e-05,8.35785327773283e-06,0|7.5627436407671e-05,4.6926706032551e-05,0|0.0023651424560232,0.00012226904823541,0|0.00311232066498992,0.0321139166965611,0|0.32598032934341,0.0835785327773283,0|0.75627436407671
0.0284644126339261,2020-03-23,"Hospital beds needed|Mitigated",1542,193,0|3,2020-13,0.135191977534475,0|5,0.00435411085565413,0|0.1557093,0.0137311374144103,0|0.2815492,2.86172886306002,0|30,9.27151231116485,0|85,3.73146926908739e-06,0|3.91176395212092e-05,1.208932254682e-05,0|0.000110833311976759,5.6774179628954e-05,0|0.00203032675583327,0.000179043227864364,0|0.00367118003769494,0.0373146926908739,0|0.391176395212092,0.1208932254682,0|1.10833311976759
0.0349750677537258,2020-03-24,"Hospital beds needed|Mitigated",1542,193,0|2,2020-13,0.168096402070487,0|6,0.00505533210459579,0|0.1804132,0.0187864695190063,0|0.3212976,3.34538317341407,0|28,12.616895484579,0|108,4.36211643459767e-06,0|3.65097968864619e-05,1.64514389814177e-05,0|0.000140823502276353,6.59175529758579e-05,0|0.00235244617415594,0.000244960780840224,0|0.00418946789860988,0.0436211643459767,0|0.365097968864619,0.164514389814177,0|1.40823502276353
0.0422062485177645,2020-03-25,"Hospital beds needed|Mitigated",1542,193,0|3,2020-13,0.207841613572641,0|6,0.00603457946789815,0|0.1899858,0.0248210489869039,0|0.3952576,3.91328299718369,0|33,16.5301784817626,0|134,5.10261312094361e-06,0|4.30294034733301e-05,2.15540521023613e-05,0|0.000174725456528068,7.86861680957767e-05,0|0.00247726534618285,0.000323646948935993,0|0.00515384810493943,0.0510261312094361,0|0.430294034733301,0.215540521023613,0|1.74725456528068
0.0508763669767041,2020-03-26,"Hospital beds needed|Mitigated",1542,193,0|3,2020-13,0.252691263443814,0|7,0.00718195843430791,0|0.1900507,0.0320030074212125,0|0.4536231,4.57646136986071,0|39,21.1066398516235,0|164,5.96734553829834e-06,0|5.08529313775719e-05,2.75213976406598e-05,0|0.000213843096049277,9.36470870298548e-05,0|0.00247811159111782,0.000417294035965857,0|0.00591488830143114,0.0596734553829834,0|0.508529313775719,0.275213976406598,0|2.13843096049277
0.0600858315053734,2020-03-27,"Hospital beds needed|Mitigated",1542,193,0|4,2020-13,0.301913228995937,0|7,0.00845703040973425,0|0.2236029,0.0404600378309463,0|0.6056034,5.34464004083388,0|41,26.4512798924575,0|196,6.96899008293201e-06,0|5.34607740123192e-05,3.4490387723592e-05,0|0.000255568578205233,0.000110273022329296,0|0.00291560587936566,0.000527567058295147,0|0.00789659183133954,0.0696899008293201,0|0.534607740123192,0.34490387723592,0|2.55568578205233
0.0725005143962819,2020-03-28,"Hospital beds needed|Mitigated",1542,193,0|4,2020-13,0.363242241967781,0|7,0.00997038677615807,0|0.2193675,0.0504304246071052,0|0.6828496,6.23381238551362,0|48,32.6850922779704,0|229,8.12840085797903e-06,0|6.25882232339346e-05,4.26187885815701e-05,0|0.000298597981678563,0.000130005998598927,0|0.00286037959588962,0.000657573056894085,0|0.00890382150000062,0.0812840085797903,0|0.625882232339346,0.426187885815701,0|2.98597981678563
0.0856212226489795,2020-03-29,"Hospital beds needed|Mitigated",1542,193,0|4,2020-14,0.433128975738711,0|8,0.0118615697488575,0|0.3122576,0.0622919943559629,0|0.7584378,7.28014463015449,0|51,39.9652369081255,0|273,9.49273577682166e-06,0|6.64999871860556e-05,5.21115243583926e-05,0|0.000355970519643003,0.000154665536530496,0|0.00407159341151931,0.000812238593424584,0|0.00988943215321964,0.0949273577682166,0|0.664999871860556,0.521115243583926,0|3.55970519643003
0.102109900980428,2020-03-30,"Hospital beds needed|Mitigated",1542,193,0|4,2020-14,0.515216776266534,0|9,0.0139319616052059,0|0.2799561,0.0762239559611673,0|0.8508353,8.47424160465235,0|52,48.4394785127782,0|318,1.10497442768808e-05,0|6.78039085034292e-05,6.31612686352738e-05,0|0.000414646978924817,0.000181661817298591,0|0.00365040726718786,0.000993900410723154,0|0.0110942228524399,0.110497442768808,0|0.678039085034292,0.631612686352738,0|4.14646978924817
0.120202534361976,2020-03-31,"Hospital beds needed|Mitigated",1542,193,0|4,2020-14,0.610622499410776,0|9,0.0163136821408994,0|0.315674,0.0925376381020678,0|0.91964,9.85095358896909,0|55,58.2904321017459,0|366,1.28448683811151e-05,0|7.17156724555501e-05,7.60061370163872e-05,0|0.000477235202158752,0.000212717579083764,0|0.00411614057940606,0.00120661798980693,0|0.0119913820030949,0.128448683811151,0|0.717156724555501,0.760061370163872,0|4.77235202158752
0.142251647952202,2020-04-01,"Hospital beds needed|Mitigated",1542,193,0|4,2020-14,0.720791989556163,0|11,0.0189184199001712,0|0.341172,0.111456058002239,0|0.9880628,11.427269503028,0|65,69.7177016047741,0|415,1.49002603043718e-05,0|8.47548856292865e-05,9.09063973207593e-05,0|0.00054112734671006,0.000246681309988589,0|0.00444861443690999,0.00145329929979552,0|0.0128835614782389,0.149002603043718,0|0.847548856292865,0.909063973207593,0|5.4112734671006
0.168277933736151,2020-04-02,"Hospital beds needed|Mitigated",1542,193,0|5,2020-14,0.847704626551234,0|13,0.0222867150191945,0|0.297278,0.133742773021433,0|1.1779201,13.1987422592562,0|74,82.9164438640307,0|489,1.72101213943644e-05,0|9.64901774856492e-05,0.000108116518715124,0|0.000637617524195709,0.000290601228077589,0|0.00387627121386201,0.0017439005278731,0|0.0153591512855289,0.172101213943644,0|0.964901774856492,1.08116518715124,0|6.37617524195709
