cumulative_fatalities_upper_bound,hospitalizations_lower_bound,icu_num,cumulative_cases_num,cases_lower_bound,current_hospitalizations_lower_bound,icu_upper_bound,location_id,intervention_date_id,current_icu_lower_bound,hospitalizations_num,fatalities_lower_bound,hospitalizations_upper_bound,current_icu_upper_bound,cases_num,portfolio_id,data_type,current_hospitalizations_num,cases_upper_bound,cumulative_fatalities_lower_bound,cumulative_cases_lower_bound,current_icu_num,fatalities_upper_bound,fatalities_num,icu_lower_bound,intervention_length,intervention_level,current_hospitalizations_upper_bound,future_scenario_id,cumulative_cases_upper_bound,cumulative_fatalities_num,date_str,date,scenario
0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,30,0,0,1,0,0,,2020-03-01,0-1
0,0.3,0.01,13.41,12.28,0.09,0.01,2,1,0,0.65,0,1.95,0,21.45,1,,0.19,42.77,0,8.2,0,0,0,0,30,0,0.42,1,25.23,0,,2020-03-02,0-1
0.01,1.1,0.04,44.32,22.39,0,0.08,2,1,0.01,2.9,0,16.12,0.04,40.35,1,,1.11,61.16,0,25.45,0.02,0.01,0.01,0,30,0,2.66,1,80.59,0.01,,2020-03-03,0-1
0.05,2.5,0.13,94.27,35.38,2.33,0.24,2,1,0.05,4.33,0.01,8.44,0.17,58.87,1,,4.04,71.66,0.01,54.05,0.09,0.03,0.02,0.07,30,0,8.29,1,145.71,0.02,,2020-03-04,0-1
0.13,3.72,0.3,160.42,51.96,5.37,0.54,2,1,0.14,7.47,0.01,14.84,0.5,72.75,1,,9.25,79.99,0.02,97.41,0.26,0.08,0.04,0.14,30,0,18.83,1,217.95,0.06,,2020-03-05,0-1
0.29,2.51,0.57,238.6,71.79,10.42,1.01,2,1,0.31,10.83,0.03,22.59,1.14,83.13,1,,17.63,88.24,0.05,159.1,0.59,0.15,0.08,0.27,30,0,35.46,1,297.5,0.13,,2020-03-06,0-1
0.55,10.69,0.94,326,87.95,17.92,1.67,2,1,0.59,16.59,0.05,31.61,2.21,91.52,1,,29.3,96.41,0.1,241.35,1.14,0.25,0.14,0.45,30,0,59.05,1,384.3,0.27,,2020-03-07,0-1
0.96,15.17,1.44,421.21,94.72,27.58,2.54,2,1,1.04,22.51,0.08,41.87,3.84,98.86,1,,44.93,104.5,0.18,337.63,1.97,0.39,0.22,0.7,30,0,90.2,1,484.32,0.48,,2020-03-08,0-1
1.55,19.33,2.05,523.71,101.43,39.6,3.62,2,1,1.68,28.81,0.12,52.85,6.15,106.13,1,,64.7,112.51,0.3,441.4,3.14,0.57,0.33,1.01,30,0,129.34,1,592.83,0.81,,2020-03-09,0-1
2.35,23.21,2.8,633.44,108.09,53.99,4.92,2,1,2.56,35.36,0.18,64.43,9.24,113.33,1,,88.69,120.44,0.48,552.55,4.69,0.78,0.47,1.39,30,0,176.49,1,709.31,1.27,,2020-03-10,0-1
3.42,28.66,3.66,750.34,114.7,70.71,6.42,2,1,3.71,42.29,0.25,76.44,13.2,120.47,1,,116.81,128.29,0.74,671.02,6.67,1.02,0.65,1.84,30,0,231.51,1,833.68,1.91,,2020-03-11,0-1
4.76,33.57,4.63,874.35,121.25,89.63,8.12,2,1,5.15,49.78,0.34,88.76,18.09,127.54,1,,148.88,136.07,1.08,796.76,9.1,1.32,0.85,2.37,30,0,294.2,1,965.87,2.74,,2020-03-12,0-1
6.42,38.61,5.72,1005.4,127.75,110.67,10,2,1,6.9,57.42,0.44,101.58,23.97,134.55,1,,184.86,143.77,1.53,929.68,12,1.68,1.09,2.95,30,0,364.24,1,1105.79,3.82,,2020-03-13,0-1
8.42,44.05,6.91,1143.43,134.19,133.72,12.07,2,1,9,65.3,0.56,114.73,30.88,141.5,1,,224.56,151.4,2.1,1069.68,15.38,2.09,1.35,3.6,30,0,441.52,1,1253.39,5.16,,2020-03-14,0-1
10.79,49.52,8.19,1288.38,140.59,158.63,14.32,2,1,11.44,73.4,0.7,128.46,38.84,148.39,1,,267.85,158.95,2.81,1207.34,19.26,2.53,1.65,4.32,30,0,525.91,1,1408.57,6.8,,2020-03-15,0-1
