model_team,pointNA,target_end_date
NotreDame.mobility,9.81797369297369,2020-06-11
NotreDame.mobility,9.91928904428904,2020-06-12
NotreDame.mobility,10.024975024975,2020-06-13
Covid19Sim.Simulator,11.2465170346586,2020-06-14
NotreDame.mobility,10.1339077589078,2020-06-14
PSI.DRAFT,12,2020-06-15
SWC.TerminusCM,12,2020-06-15
USACE.ERDC_SEIR,13.4171690754679,2020-06-15
Covid19Sim.Simulator,11.3515759503359,2020-06-15
CovidActNow.SEIR_CAN,11.7709500038922,2020-06-15
Geneva.DetGrowth,12.6761751174927,2020-06-15
JHU_IDD.CovidSP,12.1466666666667,2020-06-15
OliverWyman.Navigator,13.0572470874816,2020-06-15
UA.EpiCovDA,12,2020-06-15
UCLA.SuEIR,12.0543514135061,2020-06-15
NotreDame.mobility,10.2514985014985,2020-06-15
Auquan.SEIR,14,2020-06-16
MIT_CovidAnalytics.DELPHI,12,2020-06-16
MOBS_NEU.GLEAM_COVID,12.1706178953748,2020-06-16
PSI.DRAFT,12,2020-06-16
SWC.TerminusCM,13,2020-06-16
USACE.ERDC_SEIR,13.6570994440553,2020-06-16
UT.Mobility,10,2020-06-16
Covid19Sim.Simulator,11.4651798991663,2020-06-16
CovidActNow.SEIR_CAN,12.4282356600318,2020-06-16
Geneva.DetGrowth,13.0143423080444,2020-06-16
JHU_IDD.CovidSP,12.28,2020-06-16
OliverWyman.Navigator,13.1211531552027,2020-06-16
UA.EpiCovDA,12,2020-06-16
UCLA.SuEIR,12.1075855654182,2020-06-16
NotreDame.mobility,10.3738761238761,2020-06-16
Auquan.SEIR,15,2020-06-17
MIT_CovidAnalytics.DELPHI,12,2020-06-17
MOBS_NEU.GLEAM_COVID,12.228088246756,2020-06-17
PSI.DRAFT,12,2020-06-17
SWC.TerminusCM,13,2020-06-17
USACE.ERDC_SEIR,13.8986925421236,2020-06-17
UT.Mobility,10,2020-06-17
Covid19Sim.Simulator,11.5881563823074,2020-06-17
CovidActNow.SEIR_CAN,13.1220311587933,2020-06-17
Geneva.DetGrowth,13.3525810241699,2020-06-17
JHU_IDD.CovidSP,12.41,2020-06-17
OliverWyman.Navigator,13.2369199665108,2020-06-17
UA.EpiCovDA,12,2020-06-17
UCLA.SuEIR,12.1596974141558,2020-06-17
NotreDame.mobility,10.4994172494172,2020-06-17
Auquan.SEIR,16,2020-06-18
MIT_CovidAnalytics.DELPHI,12,2020-06-18
MOBS_NEU.GLEAM_COVID,12.2861706014564,2020-06-18
PSI.DRAFT,12,2020-06-18
SWC.TerminusCM,14,2020-06-18
USACE.ERDC_SEIR,14.1423925715562,2020-06-18
UT.Mobility,10,2020-06-18
Covid19Sim.Simulator,11.7219777856221,2020-06-18
CovidActNow.SEIR_CAN,13.8548389673962,2020-06-18
Geneva.DetGrowth,13.690803527832,2020-06-18
JHU_IDD.CovidSP,12.5733333333333,2020-06-18
OliverWyman.Navigator,14.1994798713347,2020-06-18
UA.EpiCovDA,13,2020-06-18
UCLA.SuEIR,12.2106824332037,2020-06-18
NotreDame.mobility,10.6339077589078,2020-06-18
CU.nochange,12,2020-06-19
CU.scenario_high,12,2020-06-19
CU.scenario_low,12,2020-06-19
CU.scenario_mid,12,2020-06-19
CU.select,12,2020-06-19
LANL.GrowthRate,12.1574665167435,2020-06-19
Auquan.SEIR,17,2020-06-19
MIT_CovidAnalytics.DELPHI,12,2020-06-19
MOBS_NEU.GLEAM_COVID,12.3445911129201,2020-06-19
PSI.DRAFT,12,2020-06-19
SWC.TerminusCM,14,2020-06-19
USACE.ERDC_SEIR,14.3880656218246,2020-06-19
UT.Mobility,10,2020-06-19
Covid19Sim.Simulator,11.8629254733236,2020-06-19
CovidActNow.SEIR_CAN,14.6290104812091,2020-06-19
Geneva.DetGrowth,14.0290365219116,2020-06-19
JHU_IDD.CovidSP,12.8033333333333,2020-06-19
OliverWyman.Navigator,14.3270402323423,2020-06-19
UA.EpiCovDA,13,2020-06-19
UCLA.SuEIR,12.2605546458328,2020-06-19
NotreDame.mobility,10.775308025308,2020-06-19
Auquan.SEIR,17,2020-06-20
COVIDhub.ensemble,13.0153440829517,2020-06-20
Covid19Sim.Simulator,12.0118821271354,2020-06-20
CovidActNow.SEIR_CAN,14.8879552122297,2020-06-20
GT.DeepCOVID,13.6077,2020-06-20
IHME.CurveFit,10.8597532457921,2020-06-20
JHU_IDD.CovidSP,13.0133333333333,2020-06-20
MIT_CovidAnalytics.DELPHI,12,2020-06-20
MOBS_NEU.GLEAM_COVID,12.4034647772172,2020-06-20
OliverWyman.Navigator,14.5053927460064,2020-06-20
PSI.DRAFT,12,2020-06-20
SWC.TerminusCM,15,2020-06-20
UA.EpiCovDA,13,2020-06-20
UCLA.SuEIR,12.3093294540406,2020-06-20
UMass.MechBayes,13,2020-06-20
USACE.ERDC_SEIR,14.6358170027762,2020-06-20
UT.Mobility,10,2020-06-20
NotreDame.mobility,10.9229936729937,2020-06-20
CU.nochange,12,2020-06-20
CU.scenario_high,12,2020-06-20
CU.scenario_low,12,2020-06-20
CU.scenario_mid,12,2020-06-20
CU.select,12,2020-06-20
LANL.GrowthRate,12.2693384006564,2020-06-20
Auquan.SEIR,17,2020-06-20
MIT_CovidAnalytics.DELPHI,12,2020-06-20
MOBS_NEU.GLEAM_COVID,12.4034647772173,2020-06-20
PSI.DRAFT,12,2020-06-20
SWC.TerminusCM,15,2020-06-20
USACE.ERDC_SEIR,14.6358170027762,2020-06-20
UT.Mobility,10,2020-06-20
Covid19Sim.Simulator,12.0118821271354,2020-06-20
CovidActNow.SEIR_CAN,15.4469014725048,2020-06-20
Geneva.DetGrowth,14.3673038482666,2020-06-20
JHU_IDD.CovidSP,13.0133333333333,2020-06-20
OliverWyman.Navigator,14.5053927460064,2020-06-20
UA.EpiCovDA,13,2020-06-20
YYG.ParamSearch,12.1277702867257,2020-06-21
NotreDame.mobility,11.0785880785881,2020-06-21
CU.nochange,12,2020-06-21
CU.scenario_high,12,2020-06-21
CU.scenario_low,12,2020-06-21
CU.scenario_mid,12,2020-06-21
CU.select,12,2020-06-21
LANL.GrowthRate,12.3950207674646,2020-06-21
Auquan.SEIR,18,2020-06-21
MIT_CovidAnalytics.DELPHI,12,2020-06-21
MOBS_NEU.GLEAM_COVID,12.462594832024,2020-06-21
PSI.DRAFT,12,2020-06-21
SWC.TerminusCM,16,2020-06-21
USACE.ERDC_SEIR,14.8851807925294,2020-06-21
UT.Mobility,10,2020-06-21
Covid19Sim.Simulator,12.1699071834718,2020-06-21
CovidActNow.SEIR_CAN,16.3112139749389,2020-06-21
JHU_IDD.CovidSP,13.19,2020-06-21
OliverWyman.Navigator,15.4499732421471,2020-06-21
UA.EpiCovDA,13,2020-06-21
UCLA.SuEIR,12.357021134854,2020-06-21
NotreDame.mobility,11.2425907425907,2020-06-22
YYG.ParamSearch,12.187737912592,2020-06-22
CU.nochange,12,2020-06-22
CU.scenario_high,12,2020-06-22
CU.scenario_low,12,2020-06-22
CU.scenario_mid,12,2020-06-22
CU.select,12,2020-06-22
LANL.GrowthRate,12.5151232073521,2020-06-22
Auquan.SEIR,19,2020-06-22
MIT_CovidAnalytics.DELPHI,13,2020-06-22
MOBS_NEU.GLEAM_COVID,12.5220370797197,2020-06-22
PSI.DRAFT,12,2020-06-22
SWC.TerminusCM,16,2020-06-22
USACE.ERDC_SEIR,15.1363652654883,2020-06-22
UT.Mobility,10,2020-06-22
Covid19Sim.Simulator,12.3369105599218,2020-06-22
CovidActNow.SEIR_CAN,17.224685928817,2020-06-22
JHU_IDD.CovidSP,13.4433333333333,2020-06-22
OliverWyman.Navigator,15.6397921651928,2020-06-22
UA.EpiCovDA,13,2020-06-22
UCLA.SuEIR,12.4036430236594,2020-06-22
NotreDame.mobility,11.4188727938728,2020-06-23
YYG.ParamSearch,12.2453290913076,2020-06-23
CU.nochange,12,2020-06-23
CU.scenario_high,12,2020-06-23
CU.scenario_low,12,2020-06-23
CU.scenario_mid,12,2020-06-23
CU.select,12,2020-06-23
LANL.GrowthRate,12.626140927207,2020-06-23
Auquan.SEIR,20,2020-06-23
MIT_CovidAnalytics.DELPHI,13,2020-06-23
MOBS_NEU.GLEAM_COVID,12.58173514709,2020-06-23
PSI.DRAFT,12,2020-06-23
SWC.TerminusCM,17,2020-06-23
USACE.ERDC_SEIR,15.389597339996,2020-06-23
UT.Mobility,10,2020-06-23
Covid19Sim.Simulator,12.5047587251371,2020-06-23
CovidActNow.SEIR_CAN,18.1899011368759,2020-06-23
JHU_IDD.CovidSP,13.6533333333333,2020-06-23
OliverWyman.Navigator,15.878042809529,2020-06-23
UA.EpiCovDA,13,2020-06-23
UCLA.SuEIR,12.4492076780278,2020-06-23
Covid19Sim.Simulator,12.685403399015,2020-06-24
CovidActNow.SEIR_CAN,19.2094435016573,2020-06-24
JHU_IDD.CovidSP,13.89,2020-06-24
OliverWyman.Navigator,16.7536297372834,2020-06-24
UA.EpiCovDA,13,2020-06-24
UCLA.SuEIR,12.4937270236393,2020-06-24
NotreDame.mobility,11.6081418581419,2020-06-24
YYG.ParamSearch,12.3007010472434,2020-06-24
CU.nochange,12,2020-06-24
CU.scenario_high,12,2020-06-24
CU.scenario_low,12,2020-06-24
CU.scenario_mid,12,2020-06-24
CU.select,12,2020-06-24
LANL.GrowthRate,12.7640034057369,2020-06-24
Auquan.SEIR,20,2020-06-24
MIT_CovidAnalytics.DELPHI,13,2020-06-24
MOBS_NEU.GLEAM_COVID,12.6419757720482,2020-06-24
PSI.DRAFT,12,2020-06-24
SWC.TerminusCM,17,2020-06-24
USACE.ERDC_SEIR,15.6447142169957,2020-06-24
UT.Mobility,10,2020-06-24
Auquan.SEIR,21,2020-06-25
MIT_CovidAnalytics.DELPHI,13,2020-06-25
MOBS_NEU.GLEAM_COVID,12.7025320798581,2020-06-25
PSI.DRAFT,12,2020-06-25
SWC.TerminusCM,18,2020-06-25
USACE.ERDC_SEIR,15.9012725522049,2020-06-25
UT.Mobility,10,2020-06-25
Covid19Sim.Simulator,12.869764501438,2020-06-25
CovidActNow.SEIR_CAN,20.286340319089,2020-06-25
JHU_IDD.CovidSP,14.1633333333333,2020-06-25
OliverWyman.Navigator,16.9976263465156,2020-06-25
UA.EpiCovDA,14,2020-06-25
UCLA.SuEIR,12.5372124837984,2020-06-25
NotreDame.mobility,11.8072344322344,2020-06-25
YYG.ParamSearch,12.3540223451558,2020-06-25
CU.nochange,12,2020-06-25
CU.scenario_high,12,2020-06-25
CU.scenario_low,12,2020-06-25
CU.scenario_mid,12,2020-06-25
CU.select,12,2020-06-25
LANL.GrowthRate,12.9155927802583,2020-06-25
Auquan.SEIR,22,2020-06-26
MIT_CovidAnalytics.DELPHI,13,2020-06-26
MOBS_NEU.GLEAM_COVID,12.7639931516033,2020-06-26
PSI.DRAFT,12,2020-06-26
SWC.TerminusCM,18,2020-06-26
USACE.ERDC_SEIR,16.1595069052143,2020-06-26
UT.Mobility,10,2020-06-26
Covid19Sim.Simulator,13.0551123706004,2020-06-26
CovidActNow.SEIR_CAN,21.4241013068954,2020-06-26
JHU_IDD.CovidSP,14.4466666666667,2020-06-26
OliverWyman.Navigator,17.2803481323222,2020-06-26
UA.EpiCovDA,14,2020-06-26
UCLA.SuEIR,12.5796783130686,2020-06-26
NotreDame.mobility,12.0266816516817,2020-06-26
YYG.ParamSearch,12.4054338701575,2020-06-26
CU.nochange,12,2020-06-26
CU.scenario_high,12,2020-06-26
CU.scenario_low,12,2020-06-26
CU.scenario_mid,12,2020-06-26
CU.select,12,2020-06-26
LANL.GrowthRate,13.0390682582812,2020-06-26
CU.nochange,12,2020-06-27
CU.scenario_high,12,2020-06-27
CU.scenario_low,12,2020-06-27
CU.scenario_mid,12,2020-06-27
CU.select,12,2020-06-27
LANL.GrowthRate,13.1693327660839,2020-06-27
YYG.ParamSearch,12.4550796231983,2020-06-27
Auquan.SEIR,22,2020-06-27
MIT_CovidAnalytics.DELPHI,13,2020-06-27
MOBS_NEU.GLEAM_COVID,12.8260095684524,2020-06-27
PSI.DRAFT,12,2020-06-27
