date,region,index,mean,median,lower_80,upper_80,symptomatic_onsets,positive_test_adjusted,positive_test_adjusted_raw,positive,tests,new_tests,new_cases,new_deaths
2020-03-03,AK,0,1.29845965221582,1.28560079356849,1.08712953964128,1.47664618653289,35.0612757387075,0,0,0,0,,,
2020-03-04,AK,1,1.2944322780418,1.28769007660331,1.08181342268531,1.45211390051503,0.324012669535711,0,0,0,0,,,
2020-03-05,AK,2,1.29075315597538,1.28380935144392,1.11702732246891,1.48573885288388,4.59346621928564,0,0,0,0,,,
2020-03-06,AK,3,1.28496269167188,1.27896743417925,1.09050521781703,1.4536454177732,8.71019845436935,2.48570456804964,0,0,0,0,0,0
2020-03-07,AK,4,1.27932023711143,1.27094171022914,1.09403708484774,1.43146501151415,9.3323014547992,3.86128754760318,0,0,0,4,0,0
2020-03-08,AK,5,1.27183586390393,1.26357956994885,1.11890708713196,1.44028000959699,9.202665342885,4.6623384472133,0,0,0,2,0,0
2020-03-09,AK,6,1.26108509914813,1.25350218999309,1.09907026511981,1.40247788088153,9.49042418780454,5.31083251708951,0,0,0,9,0,0
2020-03-10,AK,7,1.24837881589099,1.24386981062586,1.12582390767281,1.43135295205838,9.9835937114147,6.13174573091814,0,0,0,0,0,0
2020-03-11,AK,8,1.23679084474472,1.23129126664334,1.09453471114891,1.39432298004693,10.4620571974048,6.72215454527319,0,0,0,23,0,0
2020-03-12,AK,9,1.21848783802561,1.20839853943682,1.06275483971632,1.33624262637155,10.9115778703,7.57637338522673,0,0,0,0,0,0
2020-03-13,AK,10,1.20069997238535,1.1969214584234,1.06271850299237,1.3300297142215,11.3591744979773,7.96600501416089,1.87669771005906,1,0,14,1,0
2020-03-14,AK,11,1.18430014355532,1.18323493334824,1.05566873735141,1.3187830589668,11.8038197856221,8.46961121481349,0,0,84,84,0,0
2020-03-15,AK,12,1.16255667282924,1.15748315105364,1.02621993636694,1.28718189414158,12.2339632049494,9.14902148435422,0,0,0,0,0,0
2020-03-16,AK,13,1.13639055553004,1.13621747843336,1.00221245953101,1.24434133700966,12.6453766790624,9.5611353788315,0,0,0,0,0,0
2020-03-17,AK,14,1.11330744006793,1.10704832959193,0.994879627690563,1.22099844892367,13.029810675973,10.0816711619151,3.75339542011812,2,193,193,2,0
2020-03-18,AK,15,1.08687902240212,1.08267934216067,0.961943680994769,1.17606223092239,13.3724172465744,10.5693326051684,5.63009313017718,3,75,75,3,0
2020-03-19,AK,16,1.06319952151465,1.06396775663337,0.972604399522956,1.17922222759021,13.6660723206425,11.1887817646222,0,0,26,26,0,0
2020-03-20,AK,17,1.0356012046307,1.03017564912483,0.927560120694785,1.12366066331967,13.9052923105839,11.6142880722452,11.2601862603544,6,260,260,6,0
2020-03-21,AK,18,1.00590091744168,1.00480767119319,0.912694622376538,1.1003575194798,14.0859100506819,12.0688582691313,3.75339542011812,2,74,74,2,0
2020-03-22,AK,19,0.979180431834385,0.97786392922483,0.880844592344536,1.05638922705608,14.2019065940767,12.5308844384626,15.0135816804725,8,196,196,8,0
2020-03-23,AK,20,0.951875770930341,0.949334671189802,0.868789842205257,1.04604543854875,14.2112126033215,12.9783096560008,0,0,0,0,0,0
2020-03-24,AK,21,0.925700037503681,0.922969199746277,0.821619457863714,1.00121439295201,14.1853989242801,13.3861175257411,26.2737679408268,14,54,54,14,0
2020-03-25,AK,22,0.901172811629321,0.896911648088486,0.804870485066417,0.970566678655602,14.0762832500741,13.7928377378935,5.85058407189712,6,669,669,6,1
2020-03-26,AK,23,0.872740225471789,0.871825107298741,0.781420332994721,0.942716090301701,13.8887242640449,14.1295108355523,31.903861071004,17,169,169,17,0
2020-03-27,AK,24,0.848409669492563,0.844490690774451,0.77457577036866,0.931315473746646,13.6343471699178,14.4001773700644,12.0580429577917,10,541,528,10,0
2020-03-28,AK,25,0.823094884470653,0.821737001438278,0.746868369397947,0.895644238980794,13.3135619189252,14.6244991915101,20.0720038158932,16,520,533,16,1
2020-03-29,AK,26,0.800417578946972,0.796727243444396,0.712416872051433,0.86295647576957,12.929067297108,14.8168706819857,26.851772659276,17,413,413,17,0
2020-03-30,AK,27,0.78019581161756,0.77827281013193,0.706277026142537,0.845847952645862,12.4883858696748,14.9341296604199,22.5203725207087,12,320,320,12,1
2020-03-31,AK,28,0.761056961449242,0.758942951528879,0.686422949803739,0.832616104475524,11.999998658656,14.9939287665292,9.3834885502953,5,59,59,5,0
2020-04-01,AK,29,0.741714137703214,0.738423127296867,0.673405737202873,0.816753500745613,11.4752595932595,14.9663294846095,10.2615300407094,14,890,890,14,0
2020-04-02,AK,30,0.725081756685391,0.721641127053825,0.650202003852574,0.788898294750084,10.9244119210703,14.8903005043038,15.5689767068384,10,419,419,10,0
2020-04-03,AK,31,0.710228017610481,0.707468076229566,0.650396869946345,0.78651047821733,10.3542450665463,14.7401047037208,9.18788907065534,14,994,994,14,0
2020-04-04,AK,32,0.697795611773364,0.693673494611639,0.629796677979954,0.764171365669979,9.77272496166903,14.534020975005,26.2737679408268,14,24,24,14,2
2020-04-05,AK,33,0.683992895201641,0.682811491156475,0.612837386043355,0.739799651808853,9.18901076584526,14.2560817803279,26.2737679408268,14,244,244,14,1
2020-04-06,AK,34,0.674856679255014,0.674096858416429,0.615458069016797,0.737847861041531,8.61127186017751,13.9298844582401,6.53429172637592,6,599,599,6,0
