countyFIPS,CountyName,StateName,Severity County 5-day,date,predicted_deaths,range_high,range_low
2013,Aleutians East,AK,1,2020-06-27,0.2,0,0
2013,Aleutians East,AK,1,2020-06-28,0.3,0,0
2013,Aleutians East,AK,1,2020-06-29,0.4,0,0
2013,Aleutians East,AK,1,2020-06-30,0.6,1,0
2013,Aleutians East,AK,1,2020-07-01,0.7,1,0
2013,Aleutians East,AK,1,2020-07-02,0.9,1,0
2013,Aleutians East,AK,1,2020-07-03,1.1,2,0
2016,Aleutians West,AK,1,2020-06-27,0.2,0,0
2016,Aleutians West,AK,1,2020-06-28,0.3,0,0
2016,Aleutians West,AK,1,2020-06-29,0.4,0,0
2016,Aleutians West,AK,1,2020-06-30,0.6,1,0
2016,Aleutians West,AK,1,2020-07-01,0.7,1,0
2016,Aleutians West,AK,1,2020-07-02,0.9,1,0
2016,Aleutians West,AK,1,2020-07-03,1.1,2,0
2020,Anchorage,AK,3,2020-06-27,6.3,6,6
2020,Anchorage,AK,3,2020-06-28,6.6,7,6
2020,Anchorage,AK,3,2020-06-29,7,7,6
2020,Anchorage,AK,3,2020-06-30,7.3,8,6
2020,Anchorage,AK,3,2020-07-01,7.6,9,6
2020,Anchorage,AK,3,2020-07-02,7.9,9,6
2020,Anchorage,AK,3,2020-07-03,8.2,10,6
2050,Bethel,AK,1,2020-06-27,0.1,0,0
2050,Bethel,AK,1,2020-06-28,0.3,0,0
2050,Bethel,AK,1,2020-06-29,0.5,0,0
2050,Bethel,AK,1,2020-06-30,0.6,1,0
2050,Bethel,AK,1,2020-07-01,0.8,1,0
2050,Bethel,AK,1,2020-07-02,1.1,2,0
2050,Bethel,AK,1,2020-07-03,1.3,2,0
2060,Bristol Bay,AK,1,2020-06-27,0.2,0,0
2060,Bristol Bay,AK,1,2020-06-28,0.3,0,0
2060,Bristol Bay,AK,1,2020-06-29,0.4,0,0
2060,Bristol Bay,AK,1,2020-06-30,0.6,1,0
2060,Bristol Bay,AK,1,2020-07-01,0.7,1,0
2060,Bristol Bay,AK,1,2020-07-02,0.9,1,0
2060,Bristol Bay,AK,1,2020-07-03,1.1,2,0
2068,Denali,AK,2,2020-06-27,0.1,0,0
2068,Denali,AK,2,2020-06-28,0.3,0,0
2068,Denali,AK,2,2020-06-29,0.5,0,0
2068,Denali,AK,2,2020-06-30,0.7,1,0
2068,Denali,AK,2,2020-07-01,0.9,1,0
2068,Denali,AK,2,2020-07-02,1.2,2,0
2068,Denali,AK,2,2020-07-03,1.6,3,0
2070,Dillingham,AK,1,2020-06-27,0.1,0,0
2070,Dillingham,AK,1,2020-06-28,0.3,0,0
2070,Dillingham,AK,1,2020-06-29,0.5,0,0
2070,Dillingham,AK,1,2020-06-30,0.6,1,0
2070,Dillingham,AK,1,2020-07-01,0.8,1,0
2070,Dillingham,AK,1,2020-07-02,1,2,0
2070,Dillingham,AK,1,2020-07-03,1.3,2,0
2090,Fairbanks North Star,AK,2,2020-06-27,2.3,2,2
2090,Fairbanks North Star,AK,2,2020-06-28,2.6,3,2
2090,Fairbanks North Star,AK,2,2020-06-29,2.9,3,2
2090,Fairbanks North Star,AK,2,2020-06-30,3.2,4,2
2090,Fairbanks North Star,AK,2,2020-07-01,3.5,4,2
2090,Fairbanks North Star,AK,2,2020-07-02,3.8,5,2
2090,Fairbanks North Star,AK,2,2020-07-03,4.1,6,2
2100,Haines,AK,1,2020-06-27,0.1,0,0
2100,Haines,AK,1,2020-06-28,0.3,0,0
2100,Haines,AK,1,2020-06-29,0.5,0,0
2100,Haines,AK,1,2020-06-30,0.7,1,0
2100,Haines,AK,1,2020-07-01,0.9,1,0
2100,Haines,AK,1,2020-07-02,1.1,2,0
2100,Haines,AK,1,2020-07-03,1.4,2,0
2105,Hoonah–Angoon Census Area,AK,2,2020-06-27,0.1,0,0
2105,Hoonah–Angoon Census Area,AK,2,2020-06-28,0.3,0,0
2105,Hoonah–Angoon Census Area,AK,2,2020-06-29,0.5,0,0
2105,Hoonah–Angoon Census Area,AK,2,2020-06-30,0.7,1,0
2105,Hoonah–Angoon Census Area,AK,2,2020-07-01,0.9,1,0
2105,Hoonah–Angoon Census Area,AK,2,2020-07-02,1.2,2,0
2105,Hoonah–Angoon Census Area,AK,2,2020-07-03,1.5,3,0
2110,Juneau,AK,1,2020-06-27,0.1,0,0
2110,Juneau,AK,1,2020-06-28,0.3,0,0
2110,Juneau,AK,1,2020-06-29,0.5,0,0
2110,Juneau,AK,1,2020-06-30,0.6,1,0
2110,Juneau,AK,1,2020-07-01,0.8,1,0
2110,Juneau,AK,1,2020-07-02,1,1,0
2110,Juneau,AK,1,2020-07-03,1.1,2,0
2122,Kenai Peninsula,AK,2,2020-06-27,2.3,2,2
2122,Kenai Peninsula,AK,2,2020-06-28,2.6,3,2
2122,Kenai Peninsula,AK,2,2020-06-29,2.9,3,2
2122,Kenai Peninsula,AK,2,2020-06-30,3.2,4,2
2122,Kenai Peninsula,AK,2,2020-07-01,3.5,4,2
2122,Kenai Peninsula,AK,2,2020-07-02,3.8,5,2
2122,Kenai Peninsula,AK,2,2020-07-03,4.1,6,2
2130,Ketchikan Gateway,AK,1,2020-06-27,0.1,0,0
2130,Ketchikan Gateway,AK,1,2020-06-28,0.3,0,0
2130,Ketchikan Gateway,AK,1,2020-06-29,0.5,0,0
2130,Ketchikan Gateway,AK,1,2020-06-30,0.6,1,0
2130,Ketchikan Gateway,AK,1,2020-07-01,0.8,1,0
2130,Ketchikan Gateway,AK,1,2020-07-02,1,1,0
2130,Ketchikan Gateway,AK,1,2020-07-03,1.1,2,0
2150,Kodiak Island,AK,1,2020-06-27,0.1,0,0
