date,admits,weekly_admits,census
2023-09-13,33,298,199.142857142857
2023-09-14,39,286,200.571428571429
2023-09-15,38,284,201.285714285714
2023-09-16,51,294,202.714285714286
2023-09-17,31,288,204.571428571429
2023-09-18,27,270,203.428571428571
2023-09-19,43,262,202
2023-09-20,43,272,201.285714285714
2023-09-21,38,271,203
2023-09-22,37,270,204.142857142857
2023-09-23,39,258,204.428571428571
2023-09-24,36,263,202.571428571429
2023-09-25,43,279,200.285714285714
2023-09-26,43,279,201
2023-09-27,55,291,202.428571428571
2023-09-28,44,297,201
2023-09-29,59,319,203.857142857143
2023-09-30,43,323,208.285714285714
2023-10-01,44,331,213.428571428571
2023-10-02,54,342,222
2023-10-03,41,340,227.142857142857
2023-10-04,48,333,226.428571428571
2023-10-05,56,345,230.285714285714
2023-10-06,57,343,230.571428571429
2023-10-07,55,355,235.857142857143
2023-10-08,60,371,246.571428571429
2023-10-09,60,377,255
2023-10-10,66,402,263.857142857143
2023-10-11,45,399,275
2023-10-12,40,383,282.857142857143
2023-10-13,60,386,291.714285714286
2023-10-14,48,379,292
2023-10-15,46,365,289.142857142857
2023-10-16,51,356,287.428571428571
2023-10-17,73,363,287.857142857143
2023-10-18,71,389,289.857142857143
2023-10-19,60,409,292.142857142857
2023-10-20,69,418,293
2023-10-21,65,435,296.857142857143
2023-10-22,55,444,299.571428571429
2023-10-23,68,461,302.571428571429
2023-10-24,65,453,301
2023-10-25,68,450,300.571428571429
2023-10-26,59,449,299.285714285714
2023-10-27,55,435,298.857142857143
2023-10-28,42,412,297.571428571429
2023-10-29,42,399,294.714285714286
2023-10-30,64,395,296.714285714286
2023-10-31,45,375,296.714285714286
2023-11-01,51,358,293.142857142857
2023-11-02,59,358,292.285714285714
2023-11-03,51,354,289.714285714286
2023-11-04,71,383,291.857142857143
2023-11-05,54,395,293.142857142857
2023-11-06,67,398,289.428571428571
2023-11-07,78,431,293.142857142857
2023-11-08,78,458,299.571428571429
2023-11-09,76,475,305.285714285714
2023-11-10,78,502,310.142857142857
2023-11-11,62,493,309.714285714286
2023-11-12,74,513,313.857142857143
2023-11-13,64,510,318.571428571429
2023-11-14,86,518,320.857142857143
2023-11-15,88,528,324.571428571429
2023-11-16,70,522,329.142857142857
2023-11-17,93,537,336.857142857143
2023-11-18,81,556,346.714285714286
2023-11-19,87,569,358.142857142857
2023-11-20,77,582,367.857142857143
2023-11-21,87,583,375.571428571429
2023-11-22,76,571,377.714285714286
2023-11-23,70,571,378
2023-11-24,74,552,380
2023-11-25,77,548,380.857142857143
2023-11-26,61,522,376.571428571429
2023-11-27,63,508,372.428571428571
2023-11-28,62,483,368.142857142857
2023-11-29,86,493,371.428571428571
2023-11-30,87,510,372.714285714286
2023-12-01,78,514,369.571428571429
2023-12-02,84,521,366.857142857143
