fips,date,hospitalBedsRequired,hospitalBedCapacity,ICUBedsInUse,ICUBedCapacity,ventilatorsInUse,ventilatorCapacity,RtIndicator,RtIndicatorCI90,cumulativeDeaths,cumulativeInfected,currentInfected,currentSusceptible,currentExposed,fips_char,county
6001,2020-03-09,0,3717,0,148,0,322,1.5955975,0.7229587288,0,0,7,1671311,9,06001,Alameda
6001,2020-03-10,0,3717,0,148,0,322,1.5957919852,0.6940350723,0,4,10,1671304,12,06001,Alameda
6001,2020-03-11,0,3717,0,148,0,322,1.5966271166,0.6764734825,0,10,13,1671293,16,06001,Alameda
6001,2020-03-12,0,3717,0,148,0,322,1.5974986784,0.6704483816,0,18,18,1671279,22,06001,Alameda
6001,2020-03-13,0,3717,0,148,0,322,1.5982992332,0.6817642868,0,29,25,1671261,30,06001,Alameda
6001,2020-03-14,0,3717,0,148,0,322,1.5981112745,0.6471775296,0,43,33,1671236,40,06001,Alameda
6001,2020-03-15,0,3717,0,148,0,322,1.5987931379,0.6181131791,0,63,45,1671203,55,06001,Alameda
6001,2020-03-16,0,3717,0,148,0,322,1.5968017173,0.5782735339,0,89,60,1671158,73,06001,Alameda
6001,2020-03-17,0,3717,0,148,0,322,1.5930868459,0.5851194276,0,124,81,1671097,99,06001,Alameda
6001,2020-03-18,0,3717,0,148,0,322,1.5875062432,0.5694099007,0,171,108,1671017,132,06001,Alameda
6001,2020-03-19,0,3717,0,148,0,322,1.5795140089,0.5313025412,0,234,145,1670908,178,06001,Alameda
6001,2020-03-20,0,3717,0,148,0,322,1.5692650183,0.4880731484,0,318,195,1670763,239,06001,Alameda
6001,2020-03-21,0,3717,0,148,0,322,1.5564500163,0.451358002,0,432,262,1670568,320,06001,Alameda
6001,2020-03-22,0,3717,0,148,0,322,1.541420147,0.4152822327,0,582,350,1670317,420,06001,Alameda
6001,2020-03-23,1,3717,1,148,0,322,1.5243954989,0.3971028145,0,777,463,1670003,539,06001,Alameda
6001,2020-03-24,1,3717,1,148,0,322,1.5047296225,0.3681388479,0,1025,602,1669615,679,06001,Alameda
6001,2020-03-25,2,3717,1,148,1,322,1.4824753041,0.3456956028,0,1334,772,1669146,839,06001,Alameda
6001,2020-03-26,2,3717,2,148,1,322,1.4580340939,0.3123366536,0,1713,972,1668590,1017,06001,Alameda
6001,2020-03-27,3,3717,3,148,2,322,1.4327084046,0.325421053,0,2166,1203,1667946,1208,06001,Alameda
6001,2020-03-28,4,3717,4,148,2,322,1.4067392102,0.2982766975,0,2698,1464,1667217,1404,06001,Alameda
6001,2020-03-29,5,3717,5,148,3,322,1.3807858934,0.2884482667,0,3310,1748,1666413,1597,06001,Alameda
6001,2020-03-30,6,3717,6,148,3,322,1.3535725741,0.2789835673,0,3998,2048,1665548,1774,06001,Alameda
6001,2020-03-31,8,3717,7,148,4,322,1.3262623014,0.2695468558,0,4753,2354,1664645,1922,06001,Alameda
6001,2020-04-01,10,3717,9,148,5,322,1.2994214666,0.2542011267,0,5559,2649,1663733,2028,06001,Alameda
6001,2020-04-02,11,3717,10,148,6,322,1.2736868075,0.2616300828,0,6398,2920,1662844,2078,06001,Alameda
6001,2020-04-03,13,3717,12,148,7,322,1.2486064772,0.2515496425,0,7245,3147,1662013,2062,06001,Alameda
6001,2020-04-04,15,3717,13,148,8,322,1.2243775023,0.2469969397,0,8071,3312,1661269,1979,06001,Alameda
6001,2020-04-05,16,3717,15,148,9,322,1.2008783673,0.2249130422,0,8864,3417,1660542,1914,06001,Alameda
6001,2020-04-06,18,3717,16,148,10,322,1.1786963568,0.2255429344,0,9638,3486,1659795,1886,06001,Alameda
6001,2020-04-07,20,3717,18,148,11,322,1.1575714003,0.231641184,0,10405,3535,1659036,1878,06001,Alameda
6001,2020-04-08,21,3717,19,148,12,322,1.1381376804,0.2199307076,0,11172,3575,1658267,1881,06001,Alameda
6001,2020-04-09,22,3717,20,148,12,322,1.1188658106,0.2197205145,0,11940,3609,1657491,1889,06001,Alameda
6001,2020-04-10,23,3717,21,148,13,322,1.1014719819,0.2189681777,0,12712,3641,1656707,1900,06001,Alameda
6001,2020-04-11,24,3717,22,148,14,322,1.0854749061,0.2120391304,0,13490,3672,1655917,1913,06001,Alameda
6001,2020-04-12,25,3717,23,148,14,322,1.0712355648,0.2103761714,0,14273,3701,1655121,1926,06001,Alameda
6001,2020-04-13,26,3717,24,148,15,322,1.0580942979,0.202622723,0,15061,3730,1654318,1940,06001,Alameda
6001,2020-04-14,27,3717,25,148,15,322,1.0462256755,0.2175959045,0,15855,3759,1653510,1954,06001,Alameda
6001,2020-04-15,28,3717,25,148,16,322,1.0355576024,0.2091285066,0,16655,3788,1652696,1969,06001,Alameda
6001,2020-04-16,28,3717,26,148,16,322,1.0262308761,0.2175944033,0,17461,3817,1651875,1983,06001,Alameda
6001,2020-04-17,29,3717,26,148,17,322,1.0180119043,0.2199670161,0,18273,3846,1651049,1998,06001,Alameda
6001,2020-04-18,29,3717,27,148,17,322,1.0115653754,0.216054466,0,19090,3875,1650217,2012,06001,Alameda
6001,2020-04-19,30,3717,27,148,17,322,1.0060382006,0.2176500239,0,19914,3904,1649379,2027,06001,Alameda
