date,hospitalBedsRequired,hospitalBedCapacity,ICUBedsInUse,ICUBedCapacity,ventilatorsInUse,ventilatorCapacity,RtIndicator,RtIndicatorCI90,cumulativeDeaths,cumulativeInfected,currentInfected,currentSusceptible,currentExposed,fips_char,fips
2020-03-03,0,82447,0,3231,0,7873,2.0062282933,0.4889497754,0,66,56,39512070,69,06000,6000
2020-03-04,0,82447,0,3231,0,7873,2.0110125627,0.4702481677,0,98,75,39512013,92,06000,6000
2020-03-05,0,82447,0,3231,0,7873,2.0150476527,0.422895316,0,142,101,39511937,124,06000,6000
2020-03-06,1,82447,0,3231,0,7873,2.0184962416,0.3988057834,0,202,136,39511836,167,06000,6000
2020-03-07,1,82447,0,3231,0,7873,2.020591369,0.3577864534,0,281,183,39511700,224,06000,6000
2020-03-08,2,82447,0,3231,0,7873,2.0216298763,0.340166154,0,387,246,39511517,300,06000,6000
2020-03-09,2,82447,0,3231,0,7873,2.0215738926,0.305541299,0,529,330,39511272,403,06000,6000
2020-03-10,3,82447,1,3231,0,7873,2.0198648386,0.2713936442,0,721,442,39510942,541,06000,6000
2020-03-11,5,82447,1,3231,0,7873,2.0164383077,0.2435152851,0,977,594,39510501,726,06000,6000
2020-03-12,6,82447,1,3231,1,7873,2.0111253527,0.2219549923,0,1322,797,39509908,974,06000,6000
2020-03-13,9,82447,2,3231,1,7873,2.0020293799,0.2014867627,0,1784,1070,39509113,1307,06000,6000
2020-03-14,12,82447,3,3231,2,7873,1.9914839833,0.1814369457,0,2404,1435,39508046,1754,06000,6000
2020-03-15,16,82447,4,3231,2,7873,1.9782787082,0.1563814668,0,3236,1926,39506614,2354,06000,6000
2020-03-16,22,82447,6,3231,3,7873,1.961678986,0.1496263885,0,4352,2585,39504694,3158,06000,6000
2020-03-17,30,82447,8,3231,5,7873,1.9414364208,0.1554699137,0,5849,3468,39502117,4237,06000,6000
2020-03-18,40,82447,11,3231,6,7873,1.918047737,0.1449011371,0,7859,4654,39498659,5686,06000,6000
2020-03-19,54,82447,14,3231,9,7873,1.8910764532,0.1238195626,0,10555,6244,39494021,7628,06000,6000
2020-03-20,73,82447,19,3231,12,7873,1.8615901858,0.109237504,0,14170,8376,39487809,10225,06000,6000
2020-03-21,98,82447,26,3231,16,7873,1.8288277104,0.1071482106,0,18978,11197,39479778,13447,06000,6000
2020-03-22,131,82447,35,3231,21,7873,1.7933860806,0.1,0,25221,14799,39469702,17282,06000,6000
