state,date,reported_cases,predicted_infections_mean,predicted_infections_lower_CI_95,predicted_infections_higher_CI_95_cumulative,reported_deaths,estimated_deaths_mean,estimated_deaths_lower_CI_95,estimated_deaths_higher_CI_95,mean_time_varying_reproduction_number_R.t.,time_varying_reproduction_number_R.t._lower_CI_95,time_varying_reproduction_number_R.t._higher_CI_95,mean_infectious_individuals,infectious_individuals_lower_CI_95,infectious_individuals_higher_CI_95
CA,2020-02-16,0,148.422193054902,35.67732279396,374.742223290759,0,1.48422193054902e-13,3.567732279396e-14,3.74742223290759e-13,2.08730839855804,1.21301137321474,3.17310056151439,0,0,0
CA,2020-02-17,0,148.422193054902,35.67732279396,374.742223290759,0,2.47500506889964e-06,5.87355483456116e-07,6.32790580259069e-06,1.683213679343,0.972970959399261,2.61821813747974,22.9758713730459,5.52287742538237,58.0103887643866
CA,2020-02-18,0,148.422193054902,35.67732279396,374.742223290759,0,5.07376039124425e-05,1.20407874108504e-05,0.000129722068953109,2.01379370957765,1.16617954479471,3.08633815898257,106.46386910566,25.591495084374,268.804187484505
CA,2020-02-19,0,148.422193054902,35.67732279396,374.742223290759,0,0.000292050598130157,6.93079470478217e-05,0.000746692884705702,2.02558298527517,1.17543909241029,3.09932457235828,234.235185528274,56.3048163606106,591.406260688518
CA,2020-02-20,0,148.422193054902,35.67732279396,374.742223290759,0,0.00125359006739767,0.000297495552370523,0.00320508428901219,2.06440704679856,1.19980341501159,3.1466099901498,381.818872732028,91.7805814003001,964.031391242442
CA,2020-02-21,7,148.422193054902,35.67732279396,374.742223290759,0,0.00366053249690256,0.000868698760031596,0.00935897268203164,2.05738038815095,1.19681226988336,3.13727793240309,530.24106578693,127.45790419426,1338.7736145332
CA,2020-02-22,0,151.5699052026,45.4028992640862,344.384709370292,0,0.00826527942759034,0.0019614736370017,0.0211320414277516,2.0584585269406,1.19753407424889,3.12909193576493,667.692109645347,160.498012005425,1685.8154464113
CA,2020-02-23,0,194.641145392792,68.7465680287752,408.621497257716,0,0.0163115723617757,0.00387114706867626,0.0417026057170944,2.30339922289879,1.41254646202616,3.43710935317037,788.690819363502,190.361647620455,1980.20340070806
CA,2020-02-24,0,222.599984775217,80.8736913886786,459.540913379991,0,0.0286945039041692,0.00681320350966727,0.0733305379566122,2.3022781529958,1.41400313583884,3.42840233380761,898.748834331152,225.712961823117,2226.94751263234
CA,2020-02-25,0,253.895903375893,96.2537552498953,511.154785473154,0,0.0460835202791531,0.0109664235772582,0.117617972684766,2.3137633739618,1.41934260062259,3.45283772926276,1013.24010536968,271.875370277452,2451.6731091281
