county,date,allbed_mean,allbed_lower,allbed_upper,ICUbed_mean,ICUbed_lower,ICUbed_upper,InvVen_mean,InvVen_lower,InvVen_upper,admis_mean,admis_lower,admis_upper,newICU_mean,newICU_lower,newICU_upper,bedover_mean,bedover_lower,bedover_upper,icuover_mean,icuover_lower,icuover_upper,deaths_mean,deaths_lower,deaths_upper,totdea_mean,totdea_lower,totdea_upper,deaths_mean_smoothed,deaths_lower_smoothed,deaths_upper_smoothed,totdea_mean_smoothed,totdea_lower_smoothed,totdea_upper_smoothed,mobility_data_type,mobility_composite,total_tests_data_type,total_tests,confirmed_infections,est_infections_mean,est_infections_lower,est_infections_upper
California,2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39719100315567e-05,1.39719100315567e-05,1.39719100315567e-05,2.43247826341078e-05,2.43247826341078e-05,2.43247826341078e-05,"",,observed,6.13574173987093,0,0.405626650161861,0.193934158366272,0.743900171937169
California,2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88560512782652e-05,1.88560512782652e-05,1.88560512782652e-05,4.3180833912373e-05,4.3180833912373e-05,4.3180833912373e-05,"",,observed,6.90401957301741,0,0.547382768029036,0.262983959475209,1.00104795837098
California,2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54475384321169e-05,2.54475384321169e-05,2.54475384321169e-05,6.86283723444899e-05,6.86283723444899e-05,6.86283723444899e-05,"",,observed,7.67462169502372,0,0.738678774189666,0.355008511493849,1.35727331853752
California,2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43432083263341e-05,3.43432083263341e-05,3.43432083263341e-05,0.000102971580670824,0.000102971580670824,0.000102971580670824,"",,observed,8.45358007279052,0,0.996827413533459,0.480117838506564,1.83938909056265
California,2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6348534367813e-05,4.6348534367813e-05,4.6348534367813e-05,0.000149320115038637,0.000149320115038637,0.000149320115038637,observed,-0.896356330384762,observed,9.2472760122427,0,1.34519169524962,0.646870249508524,2.50126911602101
California,2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2550559846359e-05,6.2550559846359e-05,6.2550559846359e-05,0.000211870674884996,0.000211870674884996,0.000211870674884996,observed,-0.671866350495996,observed,10.0650638907987,0,1.81529925847034,0.871531391293954,3.37920563096109
California,2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4416326652612e-05,8.4416326652612e-05,8.4416326652612e-05,0.000296287001537608,0.000296287001537608,0.000296287001537608,observed,-0.339925521816323,observed,10.9228779807318,0,2.449695633362,1.17016080203624,4.54675738823989
California,2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000113925711884181,0.000113925711884181,0.000113925711884181,0.000410212713421789,0.000410212713421789,0.000410212713421789,observed,0.0305423034061008,observed,11.84514031006,1.00000000000001,3.30579461349454,1.57909336210291,6.15496782719502
California,2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000153750700375425,0.000153750700375425,0.000153750700375425,0.000563963413797214,0.000563963413797214,0.000563963413797214,observed,0.368948220548987,observed,12.8625550302947,0,4.46107419125868,2.12237701574733,8.32282787294487
California,2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000207497325855155,0.000207497325855155,0.000207497325855155,0.000771460739652369,0.000771460739652369,0.000771460739652369,observed,0.615006322157843,observed,14.005238827143,1,6.01816202084252,2.85046824617144,11.2346839461028
