Continent,Country,Province,Day,Total.Detected,Active,Active.Hospitalized,Cumulative.Hospitalized,Total.Detected.Deaths,Active.Ventilated,date
North America,US,California,2020-06-10,138759,32552,6459,20813,5305,1151,2020-06-10
North America,US,California,2020-06-11,141089,32686,6496,21162,5396,1155,2020-06-11
North America,US,California,2020-06-12,143414,32807,6531,21511,5487,1159,2020-06-12
North America,US,California,2020-06-13,145734,32916,6563,21859,5577,1163,2020-06-13
North America,US,California,2020-06-14,148046,33011,6593,22206,5667,1166,2020-06-14
North America,US,California,2020-06-15,150351,33094,6621,22552,5757,1168,2020-06-15
North America,US,California,2020-06-16,152647,33163,6646,22896,5847,1170,2020-06-16
North America,US,California,2020-06-17,154934,33220,6668,23239,5936,1171,2020-06-17
North America,US,California,2020-06-18,157210,33263,6688,23581,6025,1172,2020-06-18
North America,US,California,2020-06-19,159475,33294,6706,23920,6114,1173,2020-06-19
North America,US,California,2020-06-20,161728,33311,6721,24258,6202,1173,2020-06-20
North America,US,California,2020-06-21,163967,33315,6734,24594,6290,1173,2020-06-21
North America,US,California,2020-06-22,166194,33307,6744,24928,6377,1172,2020-06-22
North America,US,California,2020-06-23,168405,33286,6751,25260,6463,1171,2020-06-23
North America,US,California,2020-06-24,170601,33252,6756,25589,6549,1169,2020-06-24
North America,US,California,2020-06-25,172781,33205,6759,25916,6635,1167,2020-06-25
North America,US,California,2020-06-26,174945,33146,6759,26241,6720,1164,2020-06-26
North America,US,California,2020-06-27,177090,33075,6757,26563,6804,1161,2020-06-27
North America,US,California,2020-06-28,179218,32991,6752,26882,6887,1158,2020-06-28
North America,US,California,2020-06-29,181327,32895,6744,27198,6970,1154,2020-06-29
North America,US,California,2020-06-30,183416,32787,6735,27512,7052,1149,2020-06-30
North America,US,California,2020-07-01,185486,32668,6722,27822,7133,1145,2020-07-01
North America,US,California,2020-07-02,187534,32537,6708,28129,7214,1140,2020-07-02
North America,US,California,2020-07-03,189562,32394,6691,28433,7294,1134,2020-07-03
North America,US,California,2020-07-04,191567,32241,6672,28734,7373,1128,2020-07-04
North America,US,California,2020-07-05,193551,32076,6650,29032,7451,1122,2020-07-05
North America,US,California,2020-07-06,195512,31901,6627,29326,7528,1115,2020-07-06
North America,US,California,2020-07-07,197449,31716,6601,29617,7604,1108,2020-07-07
North America,US,California,2020-07-08,199363,31520,6573,29904,7680,1101,2020-07-08
North America,US,California,2020-07-09,201253,31314,6543,30187,7754,1093,2020-07-09
North America,US,California,2020-07-10,203119,31099,6510,30467,7828,1085,2020-07-10
North America,US,California,2020-07-11,204960,30875,6476,30743,7900,1076,2020-07-11
North America,US,California,2020-07-12,206776,30641,6440,31016,7972,1068,2020-07-12
North America,US,California,2020-07-13,208567,30399,6402,31284,8043,1059,2020-07-13
North America,US,California,2020-07-14,210332,30148,6362,31549,8113,1049,2020-07-14
North America,US,California,2020-07-15,212071,29889,6320,31810,8181,1040,2020-07-15
North America,US,California,2020-07-16,213784,29622,6276,32067,8249,1030,2020-07-16
North America,US,California,2020-07-17,215471,29347,6230,32320,8316,1020,2020-07-17
North America,US,California,2020-07-18,217131,29065,6183,32569,8381,1010,2020-07-18
North America,US,California,2020-07-19,218765,28777,6135,32814,8446,999,2020-07-19
North America,US,California,2020-07-20,220372,28481,6084,33055,8510,988,2020-07-20
North America,US,California,2020-07-21,221952,28179,6032,33292,8572,977,2020-07-21
North America,US,California,2020-07-22,223506,27872,5979,33525,8634,966,2020-07-22
North America,US,California,2020-07-23,225032,27558,5924,33754,8694,954,2020-07-23
North America,US,California,2020-07-24,226531,27239,5868,33979,8754,943,2020-07-24
North America,US,California,2020-07-25,228004,26915,5811,34200,8812,931,2020-07-25
North America,US,California,2020-07-26,229449,26587,5752,34416,8870,919,2020-07-26
North America,US,California,2020-07-27,230868,26254,5693,34629,8926,907,2020-07-27
North America,US,California,2020-07-28,232259,25917,5632,34838,8981,895,2020-07-28
North America,US,California,2020-07-29,233624,25576,5570,35043,9035,883,2020-07-29
North America,US,California,2020-07-30,234962,25231,5507,35243,9088,870,2020-07-30
North America,US,California,2020-07-31,236273,24884,5443,35440,9140,858,2020-07-31
North America,US,California,2020-08-01,237558,24533,5379,35633,9192,845,2020-08-01
North America,US,California,2020-08-02,238816,24180,5313,35822,9242,832,2020-08-02
North America,US,California,2020-08-03,240048,23825,5247,36006,9291,820,2020-08-03
North America,US,California,2020-08-04,241254,23467,5180,36187,9339,807,2020-08-04
North America,US,California,2020-08-05,242434,23108,5113,36364,9386,794,2020-08-05
North America,US,California,2020-08-06,243588,22748,5045,36537,9432,781,2020-08-06
North America,US,California,2020-08-07,244717,22386,4976,36707,9476,768,2020-08-07
North America,US,California,2020-08-08,245821,22024,4907,36872,9520,755,2020-08-08
North America,US,California,2020-08-09,246899,21661,4837,37034,9564,742,2020-08-09
North America,US,California,2020-08-10,247953,21297,4767,37192,9606,729,2020-08-10
North America,US,California,2020-08-11,248982,20934,4697,37346,9646,716,2020-08-11
North America,US,California,2020-08-12,249986,20571,4627,37497,9687,703,2020-08-12
North America,US,California,2020-08-13,250967,20208,4556,37644,9726,691,2020-08-13
North America,US,California,2020-08-14,251924,19846,4485,37788,9764,678,2020-08-14
North America,US,California,2020-08-15,252858,19484,4415,37928,9801,665,2020-08-15
