"amt_ICU beds needed|Mitigated",date,dataKey,hospital_capacity,icu_capacity,"range_ICU beds needed|Mitigated",epi_week,"amt_Hospital beds needed|Mitigated","range_Hospital beds needed|Mitigated","amt_New Deaths|Mitigated","range_New Deaths|Mitigated","amt_Total Deaths|Mitigated","range_Total Deaths|Mitigated","amt_New Infectious|Mitigated","range_New Infectious|Mitigated","amt_Total Infectious|Mitigated","range_Total Infectious|Mitigated","amt_New Attack Rate|Mitigated","range_New Attack Rate|Mitigated","amt_Attack Rate|Mitigated","range_Attack Rate|Mitigated","amt_New Deaths per 10,000|Mitigated","range_New Deaths per 10,000|Mitigated","amt_Total Deaths per 10,000|Mitigated","range_Total Deaths per 10,000|Mitigated","amt_New Infectious per 10,000|Mitigated","range_New Infectious per 10,000|Mitigated","amt_Total Infectious per 10,000|Mitigated","range_Total Infectious per 10,000|Mitigated"
76.4742293031048,2020-03-19,"Total Infectious per 10,000|Mitigated",80802,8719,34.0052194350789|107.020877740316,2020-12,331.518227489058,134.790823288649|457.04697491571,0,0|0,0,0|0,0,0|0,0,0|0,0,0|0,0,0|0,0,0|0,0,0|0,0,0|0,0,0|0
90.1637306495921,2020-03-20,"Hospital beds needed|Mitigated",80802,8719,37.0260971753946|127.020877740316,2020-12,388.589426241109,172.023017551718|530.052194350789,11.1538617610003,5.08095743696377|14.9828704954718,11.1538617610003,5.08095743696377|14.9828704954718,8712.38322119639,4520.94969744876|11168.7323353405,8712.38322119639,4520.94969744876|11168.7323353405,0.000200050184800135,0.000103808200292014|0.000256451869820448,0.000200050184800135,0.000103808200292014|0.000256451869820448,0.00256110417766594,0.00116666869261824|0.00344030552302088,0.00256110417766594,0.00116666869261824|0.00344030552302088,2.00050184800135,1.03808200292014|2.56451869820448,2.00050184800135,1.03808200292014|2.56451869820448
106.845543962206,2020-03-21,"Hospital beds needed|Mitigated",80802,8719,42.4591690910592|150.010438870158,2020-12,459.60749009564,204.096380310844|639.062633220947,12.9750535510407,5.47197815048959|17.890385651645,24.128915312041,10.7220829474133|31.431040024392,9829.39280774952,5465.65437202374|12427.3482123711,18541.7760289459,9986.6040694725|23320.396941136,0.000225698502664509,0.000125500123148494|0.000285351693485205,0.000425748687464643,0.000229308323440508|0.000535473428939244,0.00297927879751932,0.00125645327166569|0.00410791727692827,0.00554038297518525,0.00246196089016603|0.00721706702483253,2.25698502664509,1.25500123148494|2.85351693485205,4.25748687464643,2.29308323440508|5.35473428939244
126.378809938861,2020-03-22,"Hospital beds needed|Mitigated",80802,8719,49.2698173066038|176.010438870158,2020-13,545.376611989415,248.560768836982|745.120337674836,15.110170549412,6.96075983945058|20.1084695831554,39.239085861453,18.3445909896301|50.1999278970722,10786.9042131518,6515.14397408074|13387.3851378948,29328.6802420977,16501.7480435532|36548.1662380145,0.000247684488443112,0.000149598074708583|0.000307395669225243,0.000673433175907756,0.000378906398149091|0.000839204064420947,0.00346953564142734,0.00159830124189628|0.00461722464913078,0.0090099186166126,0.00421221005135544|0.0115267023933593,2.47684488443112,1.49598074708583|3.07395669225243,6.73433175907756,3.78906398149091|8.39204064420947
149.236368927603,2020-03-23,"Hospital beds needed|Mitigated",80802,8719,65.0365360455525|218.015658305237,2020-13,646.098449805361,302.438650156889|859.135995980073,17.4826247867077,8.40434857918605|23.0795273295269,56.7217106481608,27.8354415644318|72.5573913611752,12002.2996982046,7654.84023535596|14698.8869596689,41330.9799403023,24156.5882789092|51076.0322170147,0.000275591903121396,0.000175767314731156|0.000337509838351012,0.000949025079029152,0.000554673712880247|0.00117278698887035,0.00401428889269179,0.00192977219172419|0.00529942679304873,0.0130242075093044,0.00639146039330589|0.0166603318310252,2.75591903121396,1.75767314731156|3.37509838351012,9.49025079029152,5.54673712880247|11.7278698887035
175.757245090368,2020-03-24,"Hospital beds needed|Mitigated",80802,8719,76.3391706902724|257.015658305237,2020-13,763.272252798732,370.278391204284|1007.15165428531,20.3188400284109,10.4169193501068|27.5306569859434,77.0405506765716,38.488981291738|99.7365304545142,13422.4013849096,9175.14799364902|16094.879377855,54753.3813252119,33331.7362725582|66977.4628507612,0.0003081996979862,0.000210676000480845|0.000369564046039936,0.00125722477701535,0.000765349713361092|0.00153790914386558,0.00466552905147554,0.00239189047144646|0.00632147700333918,0.0176897365607799,0.00883768266924766|0.0229010947317008,3.081996979862,2.10676000480845|3.69564046039936,12.5722477701535,7.65349713361092|15.3790914386558
206.097640199828,2020-03-25,"Hospital beds needed|Mitigated",80802,8719,97.7605249268478|288.223036954409,2020-13,897.078080184066,443.599606531715|1181.27024574519,23.6333129464869,12.8033092546551|30.3070587572871,100.673863623058,51.2922905463932|128.587110283181,15050.2965464053,10640.2227536482|17658.1471860385,69803.677871617,43971.9590262064|84634.9124100602,0.000345578761742275,0.000244316448684592|0.000405459162907427,0.00160280353875762,0.00100966616204568|0.00194335228815277,0.00542658478438107,0.00293984357370282|0.00695898303737754,0.023116321345161,0.0117775262429505|0.0295256470267309,3.45578761742275,2.44316448684592|4.05459162907427,16.0280353875762,10.0966616204568|19.4335228815277
240.976960280999,2020-03-26,"Hospital beds needed|Mitigated",80802,8719,121.652747435305|329.015658305237,2020-13,1050.7808609503,553.851074308141|1348.23741369815,27.3462826531796,14.664114293811|34.8406288350969,128.020146276238,67.0965858394682|162.850182629176,15531.8851796472,11430.12999031|18206.9456075556,85335.5630512644,55402.0890165165|102841.858017616,0.000356636803225493,0.000262453976001425|0.000418060448096008,0.00195944034198312,0.00127212013804711|0.00236141273624878,0.00627914172215909,0.00336711402601086|0.00799996288048605,0.0293954630673201,0.015406443972744|0.0373929937453197,3.56636803225493,2.62453976001425|4.18060448096008,19.5944034198312,12.7212013804711|23.6141273624878
280.467342384622,2020-03-27,"Hospital beds needed|Mitigated",80802,8719,155.721449761699|383.015658305237,2020-13,1220.85700074073,677.3102433992|1537.23741369815,31.3724354814395,18.8180060117666|40.4397951146181,159.392581757677,86.7606754508675|201.389125618488,14838.3498179979,10857.6854994616|17398.1421487759,100173.912869262,66259.7745159781|119987.709232993,0.000340712127537925,0.000249309739427505|0.000399489033445398,0.00230015246952104,0.00152142987747461|0.00275510876833411,0.00720361048906027,0.00432091367499215|0.00928562057081787,0.0365990735563803,0.0199216319079078|0.0462421484154869,3.40712127537925,2.49309739427505|3.99489033445398,23.0015246952104,15.2142987747461|27.5510876833411
322.432039448409,2020-03-28,"Hospital beds needed|Mitigated",80802,8719,185.026097175395|428.015658305237,2020-13,1399.45605027009,813.355225689216|1749.70702165937,35.3875525329783,21.3983999644066|45.0584550028531,194.780134290656,108.159075415274|244.354567313013,14468.7557802211,10425.7727825756|16984.9316119244,114642.668649483,76685.5472985536|136972.640844917,0.000332225660209627,0.000239392336044656|0.000390001061881269,0.00263237812973067,0.00176082221351927|0.00314510983021538,0.00812554526598828,0.00491341319432792|0.010346138388632,0.0447246188223687,0.0248350451022357|0.0561076976375388,3.32225660209627,2.39392336044656|3.90001061881269,26.3237812973067,17.6082221351927|31.4510983021538
364.484771533148,2020-03-29,"Hospital beds needed|Mitigated",80802,8719,216.031316610474|473.010438870158,2020-14,1580.76958627165,976.92839117991|1953.48004683138,39.1769449629579,25.1637470917112|48.6068128405896,233.957079253614,134.773078817649|291.777644220778,14266.6318589466,10281.3715471602|16596.6952126171,128909.30050843,86966.9188457138|153516.838540789,0.000327584573290366,0.000236076653860252|0.000381086536262307,0.00295996270302104,0.00199689886737952|0.00352499093994169,0.0089956500773255,0.00577799682148214|0.0111608978214462,0.0537202688996941,0.0309460438539473|0.0669967908492658,3.27584573290366,2.36076653860252|3.81086536262307,29.5996270302104,19.9689886737952|35.2499093994169
