cumulative_fatalities_upper_bound,hospitalizations_lower_bound,icu_num,cumulative_cases_num,cases_lower_bound,current_hospitalizations_lower_bound,icu_upper_bound,location_id,intervention_date_id,current_icu_lower_bound,hospitalizations_num,fatalities_lower_bound,hospitalizations_upper_bound,current_icu_upper_bound,cases_num,portfolio_id,data_type,current_hospitalizations_num,cases_upper_bound,cumulative_fatalities_lower_bound,cumulative_cases_lower_bound,current_icu_num,fatalities_upper_bound,fatalities_num,icu_lower_bound,intervention_length,intervention_level,current_hospitalizations_upper_bound,future_scenario_id,cumulative_cases_upper_bound,cumulative_fatalities_num,date_str,date,scenario
0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,30,0,0,1,0,0,,2020-03-01,0-1
0.01,0.55,0.01,22.91,19.64,0.21,0.05,5,1,0,1.29,0,3.2,0.02,39.26,1,,0.39,72.84,0,10.84,0.01,0.01,0,0.01,30,0,0.87,1,39.7,0,,2020-03-02,0-1
0.05,2.32,0.08,86.21,49.9,1.21,0.3,5,1,0.02,4.99,0,12.2,0.16,90.15,1,,2.3,155.51,0,45.81,0.05,0.06,0.01,0.03,30,0,5.16,1,152.1,0.01,,2020-03-03,0-1
0.18,6.08,0.22,214.67,91.84,0,0.95,5,1,0.08,18.79,0.01,138.4,0.57,168.92,1,,6.71,244.41,0.01,122.42,0.2,0.17,0.04,0,30,0,16.57,1,354.93,0.04,,2020-03-04,0-1
0.53,12.46,0.66,419.01,152.16,11.1,2.06,5,1,0.26,22.64,0.02,57.03,1.58,236.63,1,,20.13,273.37,0.04,243.33,0.57,0.42,0.09,0.26,30,0,36.39,1,599.58,0.12,,2020-03-05,0-1
1.23,21.13,1.38,682.25,230.22,28.47,3.85,5,1,0.64,32.02,0.06,54.49,3.42,286.73,1,,42.9,301.15,0.1,433.36,1.35,0.82,0.2,0.65,30,0,68.48,1,868.11,0.29,,2020-03-06,0-1
2.49,0,2.46,983.93,303.35,51.4,6.41,5,1,1.34,45.79,0.11,77.66,6.35,315.56,1,,77.1,328.68,0.22,704.19,2.75,1.42,0.37,1.16,30,0,119.33,1,1171.44,0.61,,2020-03-07,0-1
4.54,45.9,3.91,1312.15,326.9,84.05,9.7,5,1,2.49,70.8,0.2,108.76,10.65,340.79,1,,123.6,355.94,0.42,1019.85,5.01,2.24,0.62,1.89,30,0,175.88,1,1511.86,1.17,,2020-03-08,0-1
7.63,61.64,5.88,1665.45,350.05,127.94,13.95,5,1,4.21,93,0.32,141.84,16.49,365.78,1,,187.1,382.94,0.74,1358.34,8.32,3.31,0.97,2.87,30,0,269.29,1,1879.15,2.06,,2020-03-09,0-1
12.04,81.28,8.35,2043.63,373,184.4,19.08,5,1,6.66,119.18,0.48,181.93,24.1,390.55,1,,268.19,409.68,1.23,1719.88,12.95,4.65,1.43,4.13,30,0,389.83,1,2273.04,3.38,,2020-03-10,0-1
18.06,103.12,11.4,2446.47,395.77,256.08,25.24,5,1,9.99,150.77,0.7,227.06,33.64,415.1,1,,368.93,436.17,1.94,2104.28,19.13,6.27,2.01,5.71,30,0,542.34,1,2693.28,5.27,,2020-03-11,0-1
25.99,130.33,15.09,2873.76,418.36,344.09,32.5,5,1,14.36,187.47,0.97,279.7,45.33,439.44,1,,492.38,462.4,2.92,2511.36,27.13,8.17,2.73,7.66,30,0,730.91,1,3139.63,7.85,,2020-03-12,0-1
36.15,160.34,19.52,3325.27,440.77,446.14,41,5,1,19.97,233.03,1.31,340.85,59.39,463.56,1,,641.26,488.39,4.25,2940.94,37.23,10.39,3.6,10.03,30,0,961.51,1,3611.84,11.28,,2020-03-13,0-1
48.9,196.88,24.83,3800.8,462.99,565.89,50.97,5,1,27.04,283.9,1.72,413.06,76.16,487.47,1,,821.36,514.13,5.99,3392.83,49.8,12.95,4.64,12.87,30,0,1242.19,1,4109.67,15.73,,2020-03-14,0-1
64.65,239.29,31.18,4300.14,485.03,706.41,62.7,5,1,35.81,345.8,2.22,499.33,96.71,511.17,1,,1037.63,539.62,8.25,3866.86,65.26,15.9,5.88,16.27,30,0,1582.56,1,4632.88,21.4,,2020-03-15,0-1
83.88,288.81,38.78,4825.98,506.89,872.33,76.6,5,1,46.56,421.19,2.82,611.36,126.3,542.85,1,,1297.65,589.63,11.13,4363.71,84.17,19.31,7.34,20.32,30,0,1996.42,1,5181.22,28.53,,2020-03-16,0-1
107.17,346.76,47.89,5390.64,528.58,1065.81,93.06,5,1,59.64,509.64,3.54,744.15,162.79,587.68,1,,1610.49,728.89,14.78,4881.46,107.21,23.29,9.08,25.12,30,0,2499.91,1,5756.76,37.38,,2020-03-17,0-1
135.07,412.5,58.68,6007.03,550.09,1290.74,112.17,5,1,75.42,604.25,4.4,861.91,207.25,647.39,1,,1982.31,884.16,19.29,5420.81,135.01,27.88,11.11,30.77,30,0,3120.9,1,6450.77,48.23,,2020-03-18,0-1
168.36,485.07,71.16,6692.73,571.43,1548.76,133.82,5,1,94.34,717.66,5.42,1055.78,261.38,726.06,1,,2415.15,1050.58,24.85,5981.64,168.38,33.16,13.49,37.33,30,0,3811.72,1,7327.84,61.43,,2020-03-19,0-1
207.61,563.56,85.41,7465.84,592.6,1839.9,157.6,5,1,116.77,833.25,6.62,1234.01,326.01,822.3,1,,2912.57,1222.71,31.63,6563.67,207.91,39.1,16.23,44.86,30,0,4625.31,1,8366.9,77.35,,2020-03-20,0-1
253.54,645.45,101.31,8339.63,619.45,2162.46,182.92,5,1,143.08,949.02,8.02,1398.05,402.14,927.5,1,,3471.83,1390.49,39.84,7170.64,254.14,45.66,19.37,53.34,30,0,5540.5,1,9571.08,96.37,,2020-03-21,0-1
306.66,726.87,118.54,9321.78,691.64,2511.51,208.68,5,1,173.56,1056.78,9.64,1548.42,490.21,1036.31,1,,4083.52,1540.64,49.69,7849.25,307.33,52.69,22.9,62.71,30,0,6535.98,1,10978.79,118.9,,2020-03-22,0-1
367.24,804.63,136.56,10407.41,773.68,2878.99,233.46,5,1,208.36,1150.27,11.46,1688.71,589.94,1132.44,1,,4731.3,1682.45,61.38,8609.53,367.33,59.91,26.77,72.84,30,0,7581.61,1,12592.41,145.27,,2020-03-23,0-1
435.23,876.19,154.76,11580.03,848.67,3254.64,255.96,5,1,247.44,1227.72,13.48,1801.07,700.17,1210.16,1,,5395.63,1796.03,75.1,9442.65,433.52,67.02,30.91,83.52,30,0,8641.01,1,14333.35,175.79,,2020-03-24,0-1
510.27,935.26,172.65,12820.76,914.64,3627.49,275.29,5,1,290.58,1283,15.67,1886.22,819.01,1268.91,1,,6058.73,1882.17,91.02,10337.71,504.88,73.7,35.25,94.53,30,0,9678.36,1,16174.04,210.66,,2020-03-25,0-1
591.73,978.17,189.69,14111.24,961.27,3986.61,295.8,5,1,337.39,1321.78,18,1947.42,944.02,1309.96,1,,6702.77,1944.16,109.28,11283.19,580.16,79.71,39.69,105.63,30,0,10662.84,1,18088.55,250,,2020-03-26,0-1
678.79,985.42,205.53,15434.9,972.23,4324.04,317.08,5,1,387.32,1346.47,20.43,1989.05,1072.45,1335.53,1,,7314.23,1986.43,129.99,12267.72,657.97,84.88,44.14,116.6,30,0,11570.38,1,20054.94,293.83,,2020-03-27,0-1
770.51,972.94,219.92,16777.58,962.33,4633.35,335.66,5,1,439.71,1359,22.94,2015.57,1201.49,1348.25,1,,7883.34,2013.47,153.22,13280.67,736.88,89.11,48.51,124.83,30,0,12384.07,1,22055.71,342.1,,2020-03-28,0-1
865.92,952.99,232.77,18127.63,943.12,4909.25,351.47,5,1,493.87,1358.5,25.47,2030.95,1328.46,1350.74,1,,8404.32,2029.26,179.02,14312.57,815.54,92.38,52.73,131.56,30,0,13093.56,1,24077.68,394.69,,2020-03-29,0-1
964.05,925.27,243.99,19476.08,916.95,5149.52,364.57,5,1,549.06,1351.79,28.01,2038.46,1450.94,1345.34,1,,8872.58,2037.1,207.39,15355.31,892.76,94.74,56.74,137.16,30,0,13704.5,1,26111.27,451.4,,2020-03-30,0-1
1064,893.16,253.61,20816.48,914.24,5353.83,375.15,5,1,604.56,1339.53,30.54,2040.63,1566.85,1335.44,1,,9287.26,2039.54,238.33,16402.12,967.51,96.24,60.5,141.63,30,0,14321.69,1,28149.87,511.99,,2020-03-31,0-1
1164.97,858.43,261.71,22145.9,935.87,5521.97,389.58,5,1,659.7,1323.27,33.02,2039.36,1674.5,1323.54,1,,9648.93,2038.48,271.82,17447.49,1038.96,96.99,63.99,145,30,0,15069.08,1,30189.06,576.19,,2020-04-01,0-1
1266.25,822.46,268.37,23463.1,957.29,5618.07,403.02,5,1,713.86,1304.22,35.45,2035.96,1772.6,1310.59,1,,9959.53,2035.25,307.79,18486.99,1106.47,97.1,67.17,147.35,30,0,15744.45,1,32226.03,643.7,,2020-04-02,0-1
1367.24,786.06,273.73,24766.41,978.5,5685.2,414.88,5,1,754.71,1283.2,37.81,2031.36,1860.25,1295.85,1,,10221.92,2030.79,346.18,19517.17,1169.54,100.26,70.05,148.77,30,0,16347.91,1,34259.12,714.22,,2020-04-03,0-1
1467.47,749.79,277.9,26054.38,995.71,5728.17,425.3,5,1,750.21,1261.14,40.09,2034.93,1936.88,1279.97,1,,10439.32,2034.24,386.93,20535.36,1227.87,104.29,72.61,149.33,30,0,16880.76,1,36287.39,787.43,,2020-04-04,0-1
1566.55,714.1,281,27326.21,964.93,5750.64,434.45,5,1,742.48,1238.63,42.3,2057.81,2016.6,1263.8,1,,10615.3,2057.25,429.95,21539.55,1281.28,107.8,74.87,149.13,30,0,17345.4,1,38310.4,863.02,,2020-04-05,0-1
1664.17,679.31,283.17,28583.46,970.06,5633.54,442.44,5,1,732.21,1215.89,44.41,2080.51,2125.89,1250.91,1,,10753.58,2080.05,475.17,22528.24,1329.71,110.8,76.83,148.26,30,0,17745.11,1,40327.99,940.69,,2020-04-06,0-1
1760.11,645.66,284.5,29828.26,963.56,5508.44,449.4,5,1,720.02,1193.28,46.44,2103.18,2228.53,1238.67,1,,10857.76,2102.8,522.5,23500.34,1373.17,113.3,78.51,146.8,30,0,18083.42,1,42340.14,1020.14,,2020-04-07,0-1
1854.2,613.28,285.11,31061.43,963.82,5380.19,457.67,5,1,706.42,1171.15,48.39,2125.81,2324.14,1228.19,1,,10931.34,2125.51,571.85,24462.14,1411.76,115.31,79.91,144.84,30,0,18385.38,1,44346.89,1101.11,,2020-04-08,0-1
1946.33,582.26,285.1,32288.1,981.82,5250.72,469.02,5,1,691.82,1149.55,50.26,2148.4,2412.46,1225.36,1,,10977.72,2148.14,623.15,25435.59,1445.64,116.86,81.07,142.45,30,0,18879.5,1,46348.26,1183.32,,2020-04-09,0-1
2036.44,552.63,284.55,33514.6,999.67,5121.49,479.83,5,1,676.59,1128.51,51.92,2170.86,2493.35,1228.03,1,,11000.01,2170.65,676.31,26426.4,1475.01,117.97,81.98,139.7,30,0,19350.82,1,48344.27,1266.53,,2020-04-10,0-1
2124.48,524.39,283.55,34744.32,1017.38,4993.56,490.15,5,1,660.99,1108.2,52.63,2193.13,2566.79,1231.5,1,,11001.1,2192.96,731.26,27434.93,1500.09,118.67,82.68,136.64,30,0,19801.22,1,50334.86,1350.52,,2020-04-11,0-1
2210.45,497.53,282.15,35977.83,1034.94,4867.73,500.03,5,1,645.24,1088.54,53.2,2215.12,2632.82,1236.3,1,,10983.6,2214.98,787.93,28461.1,1521.13,119,83.18,133.35,30,0,20232.35,1,52319.9,1435.09,,2020-04-12,0-1
2294.34,472.01,280.43,37219.09,1052.36,4744.73,509.49,5,1,629.52,1069.56,53.66,2236.73,2691.58,1246.8,1,,10949.9,2236.61,846.25,29504.76,1538.39,118.99,83.5,129.87,30,0,20645.63,1,54299.22,1520.03,,2020-04-13,0-1
2376.19,447.79,278.43,38471.41,1069.65,4625.46,518.57,5,1,613.97,1051.16,54.01,2257.87,2743.25,1257.98,1,,10902.12,2257.77,906.16,30565.77,1552.14,118.65,83.65,126.23,30,0,21042.26,1,56272.56,1605.17,,2020-04-14,0-1
2456.03,424.81,276.2,39735.27,1086.79,4510.07,527.29,5,1,598.71,1033.36,54.26,2278.45,2788.06,1270.06,1,,10842.1,2278.37,967.59,31644,1562.64,118.03,83.66,122.49,30,0,21423.28,1,58239.62,1690.37,,2020-04-15,0-1
2533.91,403.02,273.78,41011.82,1103.79,4398.78,535.67,5,1,583.82,1016.06,54.43,2298.38,2826.29,1283.02,1,,10771.49,2298.32,1030.49,32739.3,1570.13,118.76,83.52,118.67,30,0,21789.53,1,60200.06,1775.46,,2020-04-16,0-1
2609.89,382.36,271.21,42301.36,1120.66,4291.41,543.73,5,1,569.36,999.26,53.87,2317.6,2858.21,1296.27,1,,10691.8,2317.55,1094.81,33851.53,1574.88,119.51,83.27,114.81,30,0,22141.69,1,62153.47,1860.34,,2020-04-17,0-1
