model_team,pointNA,target_end_date
Geneva.DetGrowth,5174,2020-06-13
SWC.TerminusCM,6249,2020-07-04
Auquan.SEIR,6937,2020-07-11
COVIDhub.baseline,6769,2020-07-11
COVIDhub.ensemble,6846.99346116683,2020-07-11
CU.nochange,7175,2020-07-11
CU.scenario_high,7175,2020-07-11
CU.scenario_low,7180,2020-07-11
CU.scenario_mid,7165,2020-07-11
CU.select,7180,2020-07-11
Covid19Sim.Simulator,6819.38492671013,2020-07-11
CovidActNow.SEIR_CAN,,2020-07-11
GT.DeepCOVID,6038.5873,2020-07-11
IHME.CurveFit,6883.75711496316,2020-07-11
IowaStateLW.STEM,7060,2020-07-11
JHU_IDD.CovidSP,7125.56333333333,2020-07-11
LANL.GrowthRate,7032.99471142292,2020-07-11
MIT_CovAlliance.SIR,8068.113,2020-07-11
MIT_CovidAnalytics.DELPHI,7299,2020-07-11
MOBS_NEU.GLEAM_COVID,6766.1275845999,2020-07-11
NotreDame.mobility,6709.3996003996,2020-07-11
OliverWyman.Navigator,6757.343897,2020-07-11
PSI.DRAFT,6645,2020-07-11
UA.EpiCovDA,6692,2020-07-11
UCLA.SuEIR,6754.92714195169,2020-07-11
UMass.MechBayes,6805,2020-07-11
USACE.ERDC_SEIR,7037.13346999639,2020-07-11
USC.SI_kJalpha,6989.06339563558,2020-07-11
UT.Mobility,6802.5,2020-07-11
YYG.ParamSearch,6737.35977136613,2020-07-11
epiforecasts.ensemble1,6792.33333333333,2020-07-11
SWC.TerminusCM,6595,2020-07-11
Auquan.SEIR,7389,2020-07-18
COVIDhub.baseline,7204.09718597186,2020-07-18
COVIDhub.ensemble,7419.93157966133,2020-07-18
CU.nochange,8087,2020-07-18
CU.scenario_high,8124,2020-07-18
CU.scenario_low,8133,2020-07-18
CU.scenario_mid,8052,2020-07-18
CU.select,8133,2020-07-18
Covid19Sim.Simulator,7383.00205159754,2020-07-18
CovidActNow.SEIR_CAN,,2020-07-18
GT.DeepCOVID,6696.2941,2020-07-18
IHME.CurveFit,7530.4195316386,2020-07-18
IowaStateLW.STEM,7603,2020-07-18
JHU_IDD.CovidSP,8206.94333333333,2020-07-18
LANL.GrowthRate,7843.4489943326,2020-07-18
MIT_CovAlliance.SIR,8999.846,2020-07-18
MIT_CovidAnalytics.DELPHI,8399,2020-07-18
MOBS_NEU.GLEAM_COVID,7191.05585004581,2020-07-18
NotreDame.mobility,7044.65645465646,2020-07-18
OliverWyman.Navigator,7171.321134,2020-07-18
PSI.DRAFT,6999.5,2020-07-18
UA.EpiCovDA,6982,2020-07-18
UCLA.SuEIR,7191.23919853227,2020-07-18
UMass.MechBayes,7374,2020-07-18
USACE.ERDC_SEIR,7861.68620169055,2020-07-18
