countyFIPS,CountyName,StateName,Severity County 5-day,date,predicted_deaths,range_high,range_low
6001,Alameda,CA,2,2020-07-07,140.2,141,140
6001,Alameda,CA,2,2020-07-08,140.4,142,140
6001,Alameda,CA,2,2020-07-09,140.2,142,140
6001,Alameda,CA,2,2020-07-10,140,144,140
6001,Alameda,CA,2,2020-07-11,140,143,140
6001,Alameda,CA,2,2020-07-12,140,143,140
6001,Alameda,CA,2,2020-07-13,140,142,140
6003,Alpine,CA,2,2020-07-07,0.1,0,0
6003,Alpine,CA,2,2020-07-08,0.3,0,0
6003,Alpine,CA,2,2020-07-09,0.5,0,0
6003,Alpine,CA,2,2020-07-10,0.7,1,0
6003,Alpine,CA,2,2020-07-11,1,1,0
6003,Alpine,CA,2,2020-07-12,1.3,2,0
6003,Alpine,CA,2,2020-07-13,1.7,3,0
6005,Amador,CA,1,2020-07-07,0.1,0,0
6005,Amador,CA,1,2020-07-08,0.3,0,0
6005,Amador,CA,1,2020-07-09,0.4,0,0
6005,Amador,CA,1,2020-07-10,0.6,1,0
6005,Amador,CA,1,2020-07-11,0.8,1,0
6005,Amador,CA,1,2020-07-12,0.9,1,0
6005,Amador,CA,1,2020-07-13,1.1,2,0
6007,Butte,CA,3,2020-07-07,3.4,4,3
6007,Butte,CA,3,2020-07-08,3.8,4,3
6007,Butte,CA,3,2020-07-09,4.2,5,3
6007,Butte,CA,3,2020-07-10,4.5,6,3
6007,Butte,CA,3,2020-07-11,4.9,6,3
6007,Butte,CA,3,2020-07-12,5.3,7,3
6007,Butte,CA,3,2020-07-13,5.7,8,3
6009,Calaveras,CA,1,2020-07-07,0.1,0,0
6009,Calaveras,CA,1,2020-07-08,0.3,0,0
6009,Calaveras,CA,1,2020-07-09,0.4,0,0
6009,Calaveras,CA,1,2020-07-10,0.6,1,0
6009,Calaveras,CA,1,2020-07-11,0.7,1,0
6009,Calaveras,CA,1,2020-07-12,0.9,1,0
6009,Calaveras,CA,1,2020-07-13,1.1,2,0
