state,date,reported_cases,predicted_infections_mean,predicted_infections_lower_CI_95,predicted_infections_higher_CI_95_cumulative,reported_deaths,estimated_deaths_mean,estimated_deaths_lower_CI_95,estimated_deaths_higher_CI_95,mean_time_varying_reproduction_number_R.t.,time_varying_reproduction_number_R.t._lower_CI_95,time_varying_reproduction_number_R.t._higher_CI_95,mean_infectious_individuals,infectious_individuals_lower_CI_95,infectious_individuals_higher_CI_95
GA,2020-02-18,0,150.246002869184,39.6043877069109,370.081416572617,0,1.50246002869184e-13,3.96043877069109e-14,3.70081416572617e-13,2.12599970403587,1.30469709059658,3.11148416163971,0,0,0
GA,2020-02-19,0,150.246002869184,39.6043877069109,370.081416572617,0,2.38971712635104e-06,6.50112467291618e-07,5.89501969217477e-06,2.31891144188908,1.42948837804886,3.34325269383787,23.2581985563286,6.13079014016207,57.2888922452573
GA,2020-02-20,0,150.246002869184,39.6043877069109,370.081416572617,0,4.89892010901964e-05,1.33273055794782e-05,0.000120847903689583,2.08011480705588,1.27132320606652,3.05140924790384,107.772095627212,28.4083954161672,265.460971041237
GA,2020-02-21,0,150.246002869184,39.6043877069109,370.081416572617,0,0.000281986620909423,7.67132711404109e-05,0.000695612323676623,2.30409860175102,1.42544208440319,3.32814277388875,237.113464183398,62.5023853328355,584.050723730971
GA,2020-02-22,0,150.246002869184,39.6043877069109,370.081416572617,0,0.0012103917244968,0.000329281964683204,0.00298582747408652,2.45427331669969,1.52104373075723,3.51170196742982,386.510657653365,101.883029473236,952.041378626979
GA,2020-02-23,0,150.246002869184,39.6043877069109,370.081416572617,0,0.00353439162987319,0.000961516339124303,0.00871873412472649,2.39029375672102,1.47671222572225,3.43157632673879,536.756660522549,141.487417180147,1322.1227951996
GA,2020-02-24,0,167.021218458622,53.7870321506344,371.825217145302,0,0.00798046034344931,0.00217105058452036,0.0196864182620176,2.21908976570245,1.36972406602438,3.22630425194522,675.896700868704,178.164307068674,1664.84834030518
GA,2020-02-25,0,217.552925669307,83.0639789970197,439.194922301201,0,0.0157496951375162,0.00428492769175461,0.0388516116519287,2.50205559120238,1.585427635098,3.60658118803783,800.485801651968,212.881175783367,1972.21025418507
GA,2020-02-26,0,257.447994376514,100.648913256508,510.093626172068,0,0.0277102118468906,0.00754468432888783,0.0683516692986497,2.56459364405695,1.63143598195897,3.67745865530753,920.612925197226,255.655336561814,2228.4227597903
GA,2020-02-27,0,302.656378063112,122.923338665548,591.071260643147,0,0.044523273320116,0.0121532198744892,0.109786446928796,2.61684537808023,1.668022876764,3.73534602893199,1053.90257574107,309.878443990679,2468.51074765184
GA,2020-02-28,0,348.33318754919,149.514849525944,670.592153911982,0,0.0670024332080142,0.018408388486387,0.16504655238597,2.60132050500721,1.65790049070363,3.71126012345061,1210.97597115736,385.952846916407,2732.29703700426
GA,2020-02-29,0,423.648057657983,185.360437479965,807.176638565728,0,0.0958899381501308,0.0266038006541952,0.234994266656289,2.7174739739286,1.74359664454469,3.85849056043452,1397.87837931297,478.736331555281,3035.04268968171
