Continent,Country,Province,Day,Total.Detected,Active,Active.Hospitalized,Cumulative.Hospitalized,Total.Detected.Deaths,Active.Ventilated,date
North America,US,Georgia,2020-06-23,63987,10350,2147,9597,2749,362,2020-06-23
North America,US,Georgia,2020-06-24,64647,10318,2143,9696,2779,361,2020-06-24
North America,US,Georgia,2020-06-25,65303,10284,2139,9795,2808,359,2020-06-25
North America,US,Georgia,2020-06-26,65954,10248,2134,9892,2837,358,2020-06-26
North America,US,Georgia,2020-06-27,66601,10211,2129,9989,2866,357,2020-06-27
North America,US,Georgia,2020-06-28,67244,10172,2123,10086,2894,355,2020-06-28
North America,US,Georgia,2020-06-29,67882,10131,2117,10181,2923,354,2020-06-29
North America,US,Georgia,2020-06-30,68515,10088,2110,10276,2951,352,2020-06-30
North America,US,Georgia,2020-07-01,69144,10043,2103,10371,2979,350,2020-07-01
North America,US,Georgia,2020-07-02,69768,9997,2096,10464,3007,349,2020-07-02
North America,US,Georgia,2020-07-03,70386,9949,2089,10557,3035,347,2020-07-03
North America,US,Georgia,2020-07-04,71000,9899,2081,10649,3062,345,2020-07-04
North America,US,Georgia,2020-07-05,71609,9848,2072,10740,3089,343,2020-07-05
North America,US,Georgia,2020-07-06,72212,9795,2064,10831,3116,341,2020-07-06
North America,US,Georgia,2020-07-07,72810,9741,2055,10921,3143,339,2020-07-07
North America,US,Georgia,2020-07-08,73403,9685,2045,11010,3169,337,2020-07-08
North America,US,Georgia,2020-07-09,73991,9628,2035,11098,3196,335,2020-07-09
North America,US,Georgia,2020-07-10,74573,9569,2025,11185,3222,333,2020-07-10
North America,US,Georgia,2020-07-11,75149,9509,2015,11272,3248,331,2020-07-11
North America,US,Georgia,2020-07-12,75720,9448,2004,11357,3273,328,2020-07-12
North America,US,Georgia,2020-07-13,76286,9385,1993,11442,3299,326,2020-07-13
North America,US,Georgia,2020-07-14,76846,9321,1982,11526,3324,324,2020-07-14
North America,US,Georgia,2020-07-15,77400,9255,1971,11609,3349,321,2020-07-15
North America,US,Georgia,2020-07-16,77948,9189,1959,11691,3373,319,2020-07-16
North America,US,Georgia,2020-07-17,78491,9121,1947,11773,3398,317,2020-07-17
North America,US,Georgia,2020-07-18,79028,9052,1934,11853,3422,314,2020-07-18
North America,US,Georgia,2020-07-19,79558,8982,1921,11933,3446,311,2020-07-19
North America,US,Georgia,2020-07-20,80083,8911,1909,12012,3469,309,2020-07-20
North America,US,Georgia,2020-07-21,80603,8838,1895,12089,3493,306,2020-07-21
North America,US,Georgia,2020-07-22,81116,8765,1882,12166,3516,304,2020-07-22
North America,US,Georgia,2020-07-23,81623,8691,1868,12243,3539,301,2020-07-23
North America,US,Georgia,2020-07-24,82124,8616,1854,12318,3561,298,2020-07-24
North America,US,Georgia,2020-07-25,82619,8540,1840,12392,3583,296,2020-07-25
North America,US,Georgia,2020-07-26,83108,8463,1826,12465,3606,293,2020-07-26
North America,US,Georgia,2020-07-27,83591,8385,1811,12538,3627,290,2020-07-27
North America,US,Georgia,2020-07-28,84068,8307,1797,12609,3649,287,2020-07-28
North America,US,Georgia,2020-07-29,84539,8228,1782,12680,3670,284,2020-07-29
North America,US,Georgia,2020-07-30,85004,8149,1767,12750,3691,282,2020-07-30
North America,US,Georgia,2020-07-31,85463,8069,1751,12819,3712,279,2020-07-31
North America,US,Georgia,2020-08-01,85916,7988,1736,12887,3732,276,2020-08-01
North America,US,Georgia,2020-08-02,86363,7906,1720,12953,3752,273,2020-08-02
North America,US,Georgia,2020-08-03,86803,7824,1705,13020,3772,270,2020-08-03
North America,US,Georgia,2020-08-04,87237,7741,1689,13085,3792,267,2020-08-04
North America,US,Georgia,2020-08-05,87666,7658,1673,13149,3811,264,2020-08-05
North America,US,Georgia,2020-08-06,88088,7574,1657,13212,3831,261,2020-08-06
North America,US,Georgia,2020-08-07,88505,7490,1640,13275,3849,258,2020-08-07
North America,US,Georgia,2020-08-08,88915,7406,1624,13336,3868,255,2020-08-08
North America,US,Georgia,2020-08-09,89319,7322,1607,13397,3886,252,2020-08-09
North America,US,Georgia,2020-08-10,89717,7237,1591,13457,3904,249,2020-08-10
North America,US,Georgia,2020-08-11,90110,7152,1574,13516,3922,246,2020-08-11
North America,US,Georgia,2020-08-12,90496,7066,1557,13573,3940,243,2020-08-12
North America,US,Georgia,2020-08-13,90876,6981,1540,13631,3957,240,2020-08-13
North America,US,Georgia,2020-08-14,91251,6895,1524,13687,3974,237,2020-08-14
North America,US,Georgia,2020-08-15,91619,6809,1507,13742,3991,234,2020-08-15
