model_team,pointNA,target_end_date
CU.60contact,961,2020-04-27
CU.70contact,961,2020-04-27
CU.nointerv,962,2020-04-27
CU.60contact,989,2020-04-28
CU.70contact,989,2020-04-28
CU.nointerv,989,2020-04-28
CU.60contact,1013,2020-04-29
CU.70contact,1015,2020-04-29
CU.nointerv,1015,2020-04-29
CU.60contact,1041,2020-04-30
CU.70contact,1040,2020-04-30
CU.nointerv,1041,2020-04-30
CU.60contact,1066,2020-05-01
CU.70contact,1068,2020-05-01
CU.nointerv,1066,2020-05-01
CU.60contact,1088,2020-05-02
CU.70contact,1089,2020-05-02
CU.nointerv,1089,2020-05-02
CU.60contact,1088,2020-05-02
CU.70contact,1089,2020-05-02
CU.nointerv,1089,2020-05-02
CU.60contact,1112,2020-05-03
CU.70contact,1113,2020-05-03
CU.nointerv,1117,2020-05-03
CU.60contact,1135,2020-05-04
CU.70contact,1138,2020-05-04
CU.nointerv,1144,2020-05-04
CU.60contact,1157,2020-05-05
CU.70contact,1160,2020-05-05
CU.nointerv,1166,2020-05-05
CU.60contact,1179,2020-05-06
CU.70contact,1181,2020-05-06
CU.nointerv,1190,2020-05-06
CU.60contact,1201,2020-05-07
CU.70contact,1202,2020-05-07
CU.nointerv,1215,2020-05-07
CU.80contact,1382,2020-05-08
CU.60contact,1217,2020-05-08
CU.70contact,1221,2020-05-08
CU.nointerv,1240,2020-05-08
CU.60contact,1235,2020-05-09
CU.70contact,1244,2020-05-09
CU.nointerv,1267,2020-05-09
CU.80contact,1415,2020-05-09
CU.60contact,1235,2020-05-09
CU.70contact,1244,2020-05-09
CU.nointerv,1267,2020-05-09
CU.60contact,1254,2020-05-10
CU.70contact,1260,2020-05-10
CU.nointerv,1295,2020-05-10
CU.80contact,1449,2020-05-10
CU.60contact,1273,2020-05-11
CU.70contact,1279,2020-05-11
CU.nointerv,1328,2020-05-11
CU.80contact,1481,2020-05-11
CU.60contact,1288,2020-05-12
CU.70contact,1294,2020-05-12
CU.nointerv,1356,2020-05-12
CU.80contact,1513,2020-05-12
CU.60contact,1305,2020-05-13
CU.70contact,1314,2020-05-13
CU.nointerv,1394,2020-05-13
CU.80contact,1545,2020-05-13
CU.60contact,1320,2020-05-14
CU.70contact,1328,2020-05-14
CU.nointerv,1423,2020-05-14
CU.80contact,1580,2020-05-14
CU.60contact,1332,2020-05-15
CU.70contact,1341,2020-05-15
CU.nointerv,1459,2020-05-15
CU.80contact,1609,2020-05-15
CU.80contact,1645,2020-05-16
CU.60contact,1344,2020-05-16
CU.70contact,1358,2020-05-16
CU.nointerv,1489,2020-05-16
CU.60contact,1344,2020-05-16
CU.70contact,1358,2020-05-16
CU.nointerv,1489,2020-05-16
CU.80contact,1645,2020-05-16
CU.80contact,1679,2020-05-17
CU.60contact,1358,2020-05-17
CU.70contact,1375,2020-05-17
CU.nointerv,1529,2020-05-17
CU.80contact,1710,2020-05-18
CU.60contact,1371,2020-05-18
CU.70contact,1389,2020-05-18
CU.nointerv,1571,2020-05-18
CU.80contact,1743,2020-05-19
CU.60contact,1384,2020-05-19
CU.70contact,1403,2020-05-19
CU.nointerv,1620,2020-05-19
CU.80contact,1777,2020-05-20
CU.60contact,1394,2020-05-20
CU.70contact,1420,2020-05-20
CU.nointerv,1668,2020-05-20
CU.80contact,1803,2020-05-21
CU.60contact,1408,2020-05-21
CU.70contact,1431,2020-05-21
CU.nointerv,1725,2020-05-21
CU.80contact,1835,2020-05-22
CU.60contact,1412,2020-05-22
CU.70contact,1443,2020-05-22
CU.nointerv,1787,2020-05-22
CU.80contact,1868,2020-05-23
CU.80contact,1868,2020-05-23
CU.60contact,1423,2020-05-23
CU.70contact,1455,2020-05-23
CU.nointerv,1848,2020-05-23
CU.60contact,1423,2020-05-23
CU.70contact,1455,2020-05-23
CU.nointerv,1848,2020-05-23
CU.80contact,1901,2020-05-24
CU.60contact,1432,2020-05-24
CU.70contact,1468,2020-05-24
CU.nointerv,1916,2020-05-24
CU.80contact,1932,2020-05-25
CU.60contact,1442,2020-05-25
CU.70contact,1478,2020-05-25
CU.nointerv,1993,2020-05-25
CU.80contact,1968,2020-05-26
CU.60contact,1449,2020-05-26
CU.70contact,1487,2020-05-26
CU.nointerv,2080,2020-05-26
CU.80contact,2000,2020-05-27
CU.60contact,1457,2020-05-27
CU.70contact,1496,2020-05-27
CU.nointerv,2168,2020-05-27
CU.80contact,2034,2020-05-28
CU.60contact,1463,2020-05-28
CU.70contact,1504,2020-05-28
CU.nointerv,2267,2020-05-28
CU.80contactw10p,1986,2020-05-29
CU.80contact,2060,2020-05-29
CU.60contact,1470,2020-05-29
CU.70contact,1514,2020-05-29
CU.nointerv,2370,2020-05-29
CU.80contactw10p,2011,2020-05-30
CU.80contact,2089,2020-05-30
CU.80contact,2089,2020-05-30
CU.60contact,1476,2020-05-30
CU.70contact,1523,2020-05-30
CU.nointerv,2481,2020-05-30
CU.60contact,1476,2020-05-30
CU.70contact,1523,2020-05-30
CU.nointerv,2481,2020-05-30
CU.80contact,2115,2020-05-31
CU.80contactw10p,2034,2020-05-31
CU.60contact,1482,2020-05-31
CU.70contact,1533,2020-05-31
CU.nointerv,2611,2020-05-31
CU.80contact,2145,2020-06-01
CU.60contact,1488,2020-06-01
CU.70contact,1540,2020-06-01
CU.nointerv,2742,2020-06-01
CU.80contactw10p,2060,2020-06-01
CU.80contact,2174,2020-06-02
CU.60contact,1492,2020-06-02
CU.70contact,1547,2020-06-02
CU.nointerv,2879,2020-06-02
CU.80contactw10p,2088,2020-06-02
CU.80contact,2203,2020-06-03
CU.60contact,1498,2020-06-03
CU.70contact,1557,2020-06-03
CU.nointerv,3029,2020-06-03
CU.80contactw10p,2110,2020-06-03
CU.80contact,2237,2020-06-04
CU.60contact,1502,2020-06-04
CU.70contact,1566,2020-06-04
CU.nointerv,3209,2020-06-04
CU.80contactw10p,2132,2020-06-04
CU.80contact,2267,2020-06-05
CU.60contact,1505,2020-06-05
CU.70contact,1572,2020-06-05
CU.nointerv,3381,2020-06-05
CU.80contactw10p,2156,2020-06-05
CU.80contactw10p,2186,2020-06-06
GT.DeepCOVID,2204.1366,2020-06-06
CU.80contact,2295,2020-06-06
CU.80contact,2295,2020-06-06
CU.60contact,1508,2020-06-06
CU.70contact,1579,2020-06-06
CU.nointerv,3565,2020-06-06
CU.60contact,1508,2020-06-06
CU.70contact,1579,2020-06-06
CU.nointerv,3565,2020-06-06
CU.80contactw10p,2186,2020-06-06
Covid19Sim.Simulator,2159.2355044054,2020-06-07
SWC.TerminusCM,2210,2020-06-07
CU.80contactw10p,2210,2020-06-07
CU.80contact,2322,2020-06-07
PSI.DRAFT,2099.5,2020-06-08
USACE.ERDC_SEIR,1962.59151138231,2020-06-08
Auquan.SEIR,2303,2020-06-08
CU.80contact1x10p,2207,2020-06-08
CU.80contact1x5p,2206,2020-06-08
CU.80contactw5p,2206,2020-06-08
CU.nochange,2206,2020-06-08
CU.select,2206,2020-06-08
Covid19Sim.Simulator,2170.2556256361,2020-06-08
CovidActNow.SEIR_CAN,,2020-06-08
