date,region,index,mean,median,lower_80,upper_80,infections,positive_test_adjusted,positive_test_adjusted_raw,positive,tests,new_tests,new_cases,new_deaths
2020-02-26,GA,0,2.6917364478633,2.67781553383234,2.19111777873804,3.08947563484237,24.0371250025364,0,0,0,0,,,
2020-02-27,GA,1,2.69197641961595,2.66501517037603,2.22845083574144,3.093881474829,0.454636472510735,0,0,0,0,,,
2020-02-28,GA,2,2.6906440041919,2.6713554755789,2.21904603468708,3.06299750775503,6.44979125869303,0,0,0,0,,,
2020-02-29,GA,3,2.68655218355803,2.6751953546825,2.2616260688173,3.09231443406342,12.3493906894372,1.69409724265285,0,0,0,,,
2020-03-01,GA,4,2.67683639050548,2.65238036370509,2.28231852636433,3.04594647165127,14.2453618077019,2.6479929466257,0,0,0,,,
2020-03-02,GA,5,2.67605612534895,2.67026300538993,2.29731901781624,3.05711530795513,16.6449080367468,3.43547750770684,0,0,0,,,
2020-03-03,GA,6,2.67144464728187,2.66734138944178,2.2564749382219,2.96318969335743,20.7621246725101,4.4565880902442,0,0,0,,,
2020-03-04,GA,7,2.65290223518863,2.64190678362653,2.28030877875718,2.94484856637848,25.8741127939091,5.85606754357525,0,0,0,0,0,0
2020-03-05,GA,8,2.64117433375873,2.62630540023998,2.30304225718675,2.93581637437914,31.9718284679905,7.35592497392675,0,0,0,0,0,0
2020-03-06,GA,9,2.61700720799591,2.59628987221091,2.34666185417345,2.94636730710631,39.4871789894978,9.38951197967512,0,0,0,0,0,0
2020-03-07,GA,10,2.59190941314176,2.5666433097499,2.3507292191808,2.90778773777452,48.7874499265872,11.5527653896604,7.5985413212737,4,4,4,4,0
2020-03-08,GA,11,2.56648965488756,2.5535994529162,2.32680775511507,2.84855595680625,60.194385136873,14.3457984031662,1.89963533031842,1,1,1,1,0
2020-03-09,GA,12,2.52251684410883,2.5104674335546,2.27232240988984,2.77772033624806,74.108689042392,17.9175155045461,9.49817665159213,5,5,5,5,0
2020-03-10,GA,13,2.47587394144163,2.47142359174954,2.21540984503131,2.6897428421444,91.0406115583456,22.1014874000332,9.49817665159213,5,5,5,5,0
2020-03-11,GA,14,2.41701779985448,2.41604724354812,2.19509457859454,2.62800341424213,111.462612687733,27.358758659431,9.49817665159213,5,5,5,5,0
2020-03-12,GA,15,2.35532641445414,2.35147970024657,2.13323538569395,2.55355299590418,135.857055501784,33.8078993898273,17.0967179728658,9,9,9,9,0
2020-03-13,GA,16,2.2856331251493,2.28860831165085,2.08196270619884,2.4754738732638,164.700955183967,41.8102960801166,20.8959886335027,11,11,11,11,1
2020-03-14,GA,17,2.2135954301458,2.21564363187811,2.01510309970746,2.36968374252302,198.448325920474,51.4493748972937,45.5912479276422,24,24,24,24,0
2020-03-15,GA,18,2.13312065156125,2.1316689411667,1.97508716388823,2.32091500291375,237.479926903903,63.2272744594301,62.6879659005081,33,33,33,33,0
2020-03-16,GA,19,2.05376163232058,2.05439987337253,1.88667824902999,2.20403787066866,282.07130628049,77.4960178931732,41.7919772670054,22,22,22,22,0
2020-03-17,GA,20,1.97103582271253,1.97112281915282,1.82791172357149,2.12598770569034,332.21532320073,94.6308133946576,47.4908832579607,25,25,25,25,0
2020-03-18,GA,21,1.88619157312875,1.88263056709679,1.75684188993357,2.0459856699346,387.895830096454,115.034970830279,96.8814018462397,51,1362,1362,51,0
2020-03-19,GA,22,1.80306151705001,1.80766415535533,1.6484209627261,1.92549508286482,448.706579528987,139.157036868606,170.967179728658,90,323,323,90,9
2020-03-20,GA,23,1.72369710688411,1.72161890096516,1.59067297724888,1.86722011854181,513.95388778059,167.342170452599,252.651498932351,133,555,555,133,3
2020-03-21,GA,24,1.64500749271367,1.63971808287016,1.5337900648327,1.78066249793849,582.736203945333,199.942526982117,165.268273737703,87,678,678,87,1
2020-03-22,GA,25,1.57216732494402,1.56700739908877,1.45020902346769,1.67890667424561,654.056350952817,237.245559576414,176.666085719614,93,956,956,93,9
