countyFIPS,CountyName,StateName,Severity County 5-day,date,predicted_deaths,range_high,range_low
13001,Appling,GA,3,2020-06-27,14.7,15,14
13001,Appling,GA,3,2020-06-28,15.3,16,14
13001,Appling,GA,3,2020-06-29,16,17,14
13001,Appling,GA,3,2020-06-30,16.7,18,14
13001,Appling,GA,3,2020-07-01,17.3,19,15
13001,Appling,GA,3,2020-07-02,18,20,15
13001,Appling,GA,3,2020-07-03,18.6,21,15
13003,Atkinson,GA,2,2020-06-27,2.3,2,2
13003,Atkinson,GA,2,2020-06-28,2.5,3,2
13003,Atkinson,GA,2,2020-06-29,2.8,3,2
13003,Atkinson,GA,2,2020-06-30,3.1,4,2
13003,Atkinson,GA,2,2020-07-01,3.3,4,2
13003,Atkinson,GA,2,2020-07-02,3.6,5,2
13003,Atkinson,GA,2,2020-07-03,3.9,5,2
13005,Bacon,GA,3,2020-06-27,4.3,4,4
13005,Bacon,GA,3,2020-06-28,4.6,5,4
13005,Bacon,GA,3,2020-06-29,4.8,6,4
13005,Bacon,GA,3,2020-06-30,5.1,6,4
13005,Bacon,GA,3,2020-07-01,5.3,7,4
13005,Bacon,GA,3,2020-07-02,5.6,8,4
13005,Bacon,GA,3,2020-07-03,5.8,8,4
13007,Baker,GA,2,2020-06-27,3.3,3,3
13007,Baker,GA,2,2020-06-28,3.5,4,3
13007,Baker,GA,2,2020-06-29,3.8,4,3
13007,Baker,GA,2,2020-06-30,4.1,5,3
13007,Baker,GA,2,2020-07-01,4.3,5,3
13007,Baker,GA,2,2020-07-02,4.6,6,3
13007,Baker,GA,2,2020-07-03,4.8,6,3
13009,Baldwin,GA,2,2020-06-27,33.2,34,33
13009,Baldwin,GA,2,2020-06-28,33.4,34,33
13009,Baldwin,GA,2,2020-06-29,33.5,34,33
13009,Baldwin,GA,2,2020-06-30,33.6,34,33
13009,Baldwin,GA,2,2020-07-01,33.7,34,33
13009,Baldwin,GA,2,2020-07-02,33.7,35,33
13009,Baldwin,GA,2,2020-07-03,33.7,35,33
13011,Banks,GA,1,2020-06-27,0.2,0,0
13011,Banks,GA,1,2020-06-28,0.3,0,0
13011,Banks,GA,1,2020-06-29,0.4,0,0
13011,Banks,GA,1,2020-06-30,0.6,1,0
13011,Banks,GA,1,2020-07-01,0.7,1,0
13011,Banks,GA,1,2020-07-02,0.8,1,0
13011,Banks,GA,1,2020-07-03,1,1,0
13013,Barrow,GA,3,2020-06-27,25.3,25,25
13013,Barrow,GA,3,2020-06-28,25.7,26,25
13013,Barrow,GA,3,2020-06-29,26,27,25
13013,Barrow,GA,3,2020-06-30,26.4,29,25
13013,Barrow,GA,3,2020-07-01,26.7,30,25
13013,Barrow,GA,3,2020-07-02,27,31,25
13013,Barrow,GA,3,2020-07-03,27.3,32,25
13015,Bartow,GA,3,2020-06-27,42.3,44,42
13015,Bartow,GA,3,2020-06-28,42.8,44,42
13015,Bartow,GA,3,2020-06-29,43.3,46,42
13015,Bartow,GA,3,2020-06-30,43.8,46,42
13015,Bartow,GA,3,2020-07-01,44.2,47,42
13015,Bartow,GA,3,2020-07-02,44.6,47,42
13015,Bartow,GA,3,2020-07-03,44.9,48,42
13017,Ben Hill,GA,2,2020-06-27,1.3,1,1
13017,Ben Hill,GA,2,2020-06-28,1.5,1,1
13017,Ben Hill,GA,2,2020-06-29,1.7,2,1
13017,Ben Hill,GA,2,2020-06-30,1.9,2,1
13017,Ben Hill,GA,2,2020-07-01,2.1,3,1
13017,Ben Hill,GA,2,2020-07-02,2.3,3,1
13017,Ben Hill,GA,2,2020-07-03,2.5,4,1
13019,Berrien,GA,1,2020-06-27,0.2,0,0
13019,Berrien,GA,1,2020-06-28,0.3,0,0
13019,Berrien,GA,1,2020-06-29,0.4,0,0
13019,Berrien,GA,1,2020-06-30,0.6,1,0
13019,Berrien,GA,1,2020-07-01,0.7,1,0
13019,Berrien,GA,1,2020-07-02,0.9,1,0
13019,Berrien,GA,1,2020-07-03,1,1,0
13021,Bibb,GA,2,2020-06-27,38.2,38,38
13021,Bibb,GA,2,2020-06-28,38.3,38,38
13021,Bibb,GA,2,2020-06-29,38.4,39,38
13021,Bibb,GA,2,2020-06-30,38.5,40,38
13021,Bibb,GA,2,2020-07-01,38.6,40,38
13021,Bibb,GA,2,2020-07-02,38.6,40,38
13021,Bibb,GA,2,2020-07-03,38.5,41,38
13023,Bleckley,GA,2,2020-06-27,1.3,1,1
13023,Bleckley,GA,2,2020-06-28,1.5,2,1
13023,Bleckley,GA,2,2020-06-29,1.8,2,1
13023,Bleckley,GA,2,2020-06-30,2,3,1
13023,Bleckley,GA,2,2020-07-01,2.2,3,1
13023,Bleckley,GA,2,2020-07-02,2.5,4,1
13023,Bleckley,GA,2,2020-07-03,2.7,4,1
13025,Brantley,GA,2,2020-06-27,2.3,2,2
13025,Brantley,GA,2,2020-06-28,2.6,3,2
13025,Brantley,GA,2,2020-06-29,2.9,3,2
13025,Brantley,GA,2,2020-06-30,3.2,4,2
13025,Brantley,GA,2,2020-07-01,3.5,4,2
13025,Brantley,GA,2,2020-07-02,3.8,5,2
13025,Brantley,GA,2,2020-07-03,4.1,6,2
13027,Brooks,GA,3,2020-06-27,11.4,11,11
13027,Brooks,GA,3,2020-06-28,11.7,12,11
13027,Brooks,GA,3,2020-06-29,12.2,13,11
13027,Brooks,GA,3,2020-06-30,12.6,14,11
13027,Brooks,GA,3,2020-07-01,13,16,11
13027,Brooks,GA,3,2020-07-02,13.5,17,11
13027,Brooks,GA,3,2020-07-03,14,18,11
13029,Bryan,GA,3,2020-06-27,5.3,5,5
13029,Bryan,GA,3,2020-06-28,5.6,6,5
13029,Bryan,GA,3,2020-06-29,5.9,6,5
13029,Bryan,GA,3,2020-06-30,6.3,7,5
13029,Bryan,GA,3,2020-07-01,6.6,8,5
13029,Bryan,GA,3,2020-07-02,6.9,8,5
13029,Bryan,GA,3,2020-07-03,7.2,9,5
13031,Bulloch,GA,3,2020-06-27,4.3,5,4
13031,Bulloch,GA,3,2020-06-28,4.8,5,4
13031,Bulloch,GA,3,2020-06-29,5.3,6,4
13031,Bulloch,GA,3,2020-06-30,5.7,7,4
13031,Bulloch,GA,3,2020-07-01,6.2,8,4
13031,Bulloch,GA,3,2020-07-02,6.6,8,4
13031,Bulloch,GA,3,2020-07-03,7.1,9,4
13033,Burke,GA,3,2020-06-27,6.3,6,6
13033,Burke,GA,3,2020-06-28,6.5,7,6
13033,Burke,GA,3,2020-06-29,6.8,7,6
13033,Burke,GA,3,2020-06-30,7,8,6
13033,Burke,GA,3,2020-07-01,7.3,8,6
13033,Burke,GA,3,2020-07-02,7.5,9,6
13033,Burke,GA,3,2020-07-03,7.8,9,6
13035,Butts,GA,3,2020-06-27,33.4,34,33
13035,Butts,GA,3,2020-06-28,33.8,34,33
13035,Butts,GA,3,2020-06-29,34.2,35,33
13035,Butts,GA,3,2020-06-30,34.6,36,33
13035,Butts,GA,3,2020-07-01,35.1,37,33
13035,Butts,GA,3,2020-07-02,35.5,39,33
13035,Butts,GA,3,2020-07-03,35.9,43,33
13037,Calhoun,GA,2,2020-06-27,5.2,5,5
13037,Calhoun,GA,2,2020-06-28,5.4,5,5
13037,Calhoun,GA,2,2020-06-29,5.6,6,5
13037,Calhoun,GA,2,2020-06-30,5.8,6,5
13037,Calhoun,GA,2,2020-07-01,6,6,5
13037,Calhoun,GA,2,2020-07-02,6.1,7,5
13037,Calhoun,GA,2,2020-07-03,6.2,7,5
13039,Camden,GA,3,2020-06-27,2.4,3,2
13039,Camden,GA,3,2020-06-28,2.9,3,2
13039,Camden,GA,3,2020-06-29,3.5,4,2
13039,Camden,GA,3,2020-06-30,4,6,2
13039,Camden,GA,3,2020-07-01,4.6,7,2
13039,Camden,GA,3,2020-07-02,5.2,8,2
13039,Camden,GA,3,2020-07-03,5.8,9,2
13043,Candler,GA,1,2020-06-27,0.1,0,0
13043,Candler,GA,1,2020-06-28,0.3,0,0
13043,Candler,GA,1,2020-06-29,0.5,0,0
13043,Candler,GA,1,2020-06-30,0.6,1,0
13043,Candler,GA,1,2020-07-01,0.8,1,0
13043,Candler,GA,1,2020-07-02,1,1,0
13043,Candler,GA,1,2020-07-03,1.2,2,0
13045,Carroll,GA,2,2020-06-27,39,38,39
13045,Carroll,GA,2,2020-06-28,39.1,38,39
13045,Carroll,GA,2,2020-06-29,39.1,38,39
13045,Carroll,GA,2,2020-06-30,39.1,39,39
13045,Carroll,GA,2,2020-07-01,39,40,39
13045,Carroll,GA,2,2020-07-02,39,40,39
13045,Carroll,GA,2,2020-07-03,39,41,39
13047,Catoosa,GA,3,2020-06-27,7.4,8,7
13047,Catoosa,GA,3,2020-06-28,7.9,9,7
13047,Catoosa,GA,3,2020-06-29,8.5,11,7
13047,Catoosa,GA,3,2020-06-30,9.1,13,7
13047,Catoosa,GA,3,2020-07-01,9.6,14,7
13047,Catoosa,GA,3,2020-07-02,10.2,15,7
13047,Catoosa,GA,3,2020-07-03,10.8,17,7
13049,Charlton,GA,3,2020-06-27,2.3,2,2
13049,Charlton,GA,3,2020-06-28,2.6,3,2
13049,Charlton,GA,3,2020-06-29,2.9,3,2
13049,Charlton,GA,3,2020-06-30,3.2,4,2
13049,Charlton,GA,3,2020-07-01,3.5,5,2
13049,Charlton,GA,3,2020-07-02,3.8,6,2
13049,Charlton,GA,3,2020-07-03,4.1,6,2
13051,Chatham,GA,3,2020-06-27,37.6,39,37
13051,Chatham,GA,3,2020-06-28,38.3,40,37
13051,Chatham,GA,3,2020-06-29,38.9,40,37
13051,Chatham,GA,3,2020-06-30,39.6,42,37
13051,Chatham,GA,3,2020-07-01,40.2,43,37
13051,Chatham,GA,3,2020-07-02,40.7,43,37
13051,Chatham,GA,3,2020-07-03,41.2,45,37
13053,Chattahoochee,GA,1,2020-06-27,0.2,0,0
13053,Chattahoochee,GA,1,2020-06-28,0.3,0,0
13053,Chattahoochee,GA,1,2020-06-29,0.4,0,0
13053,Chattahoochee,GA,1,2020-06-30,0.6,1,0
13053,Chattahoochee,GA,1,2020-07-01,0.7,1,0
13053,Chattahoochee,GA,1,2020-07-02,0.8,1,0
13053,Chattahoochee,GA,1,2020-07-03,0.9,1,0
13055,Chattooga,GA,2,2020-06-27,2.3,2,2
13055,Chattooga,GA,2,2020-06-28,2.6,3,2
13055,Chattooga,GA,2,2020-06-29,2.9,3,2
13055,Chattooga,GA,2,2020-06-30,3.2,4,2
13055,Chattooga,GA,2,2020-07-01,3.5,4,2
13055,Chattooga,GA,2,2020-07-02,3.8,5,2
13055,Chattooga,GA,2,2020-07-03,4.1,6,2
13057,Cherokee,GA,2,2020-06-27,44.3,47,44
13057,Cherokee,GA,2,2020-06-28,44.5,49,44
13057,Cherokee,GA,2,2020-06-29,44.5,50,44
13057,Cherokee,GA,2,2020-06-30,44.6,51,44
13057,Cherokee,GA,2,2020-07-01,44.5,52,44
13057,Cherokee,GA,2,2020-07-02,44.4,52,44
13057,Cherokee,GA,2,2020-07-03,44.2,53,44
13059,Clarke,GA,2,2020-06-27,15.2,15,15
13059,Clarke,GA,2,2020-06-28,15.4,15,15
13059,Clarke,GA,2,2020-06-29,15.5,15,15
13059,Clarke,GA,2,2020-06-30,15.7,16,15
13059,Clarke,GA,2,2020-07-01,15.8,16,15
13059,Clarke,GA,2,2020-07-02,15.9,16,15
13059,Clarke,GA,2,2020-07-03,16,17,15
13061,Clay,GA,2,2020-06-27,2.3,2,2
13061,Clay,GA,2,2020-06-28,2.5,3,2
13061,Clay,GA,2,2020-06-29,2.8,3,2
13061,Clay,GA,2,2020-06-30,3,4,2
13061,Clay,GA,2,2020-07-01,3.3,4,2
13061,Clay,GA,2,2020-07-02,3.5,5,2
13061,Clay,GA,2,2020-07-03,3.8,5,2
13063,Clayton,GA,2,2020-06-27,79.4,81,79
13063,Clayton,GA,2,2020-06-28,79.6,81,79
13063,Clayton,GA,2,2020-06-29,79.7,82,79
13063,Clayton,GA,2,2020-06-30,79.7,82,79
13063,Clayton,GA,2,2020-07-01,79.5,82,79
13063,Clayton,GA,2,2020-07-02,79.3,81,79
13063,Clayton,GA,2,2020-07-03,79,81,79
13065,Clinch,GA,3,2020-06-27,3.4,4,3
13065,Clinch,GA,3,2020-06-28,3.7,4,3
13065,Clinch,GA,3,2020-06-29,4.1,5,3
13065,Clinch,GA,3,2020-06-30,4.5,6,3
13065,Clinch,GA,3,2020-07-01,4.8,6,3
13065,Clinch,GA,3,2020-07-02,5.2,7,3
13065,Clinch,GA,3,2020-07-03,5.6,8,3
13067,Cobb,GA,3,2020-06-27,240.8,243,239
13067,Cobb,GA,3,2020-06-28,242.2,244,239
13067,Cobb,GA,3,2020-06-29,243.4,248,239
13067,Cobb,GA,3,2020-06-30,244.5,248,239
13067,Cobb,GA,3,2020-07-01,245.2,249,239
13067,Cobb,GA,3,2020-07-02,245.6,250,239
13067,Cobb,GA,3,2020-07-03,245.5,253,239
13069,Coffee,GA,3,2020-06-27,17.8,18,17
13069,Coffee,GA,3,2020-06-28,18.5,20,17
13069,Coffee,GA,3,2020-06-29,19.3,20,17
13069,Coffee,GA,3,2020-06-30,20,22,17
13069,Coffee,GA,3,2020-07-01,20.6,23,17
13069,Coffee,GA,3,2020-07-02,21.3,24,17
13069,Coffee,GA,3,2020-07-03,21.9,24,19
13071,Colquitt,GA,2,2020-06-27,18,18,18
13071,Colquitt,GA,2,2020-06-28,18,18,18
13071,Colquitt,GA,2,2020-06-29,18,18,18
