date,admits,weekly_admits,census
2023-09-05,52,304,334.571428571429
2023-09-06,35,297,342.714285714286
2023-09-07,55,307,347.142857142857
2023-09-08,50,310,347
2023-09-09,50,318,345.857142857143
2023-09-10,59,340,345.428571428571
2023-09-11,56,357,345.571428571429
2023-09-12,51,356,344.428571428571
2023-09-13,52,373,339.857142857143
2023-09-14,46,364,336.428571428571
2023-09-15,42,356,335.428571428571
2023-09-16,49,355,333.428571428571
2023-09-17,43,339,333
2023-09-18,62,345,335.428571428571
2023-09-19,59,353,337.142857142857
2023-09-20,56,357,342.285714285714
2023-09-21,54,365,346.428571428571
2023-09-22,49,372,352.285714285714
2023-09-23,47,370,358.571428571429
2023-09-24,34,361,362.428571428571
2023-09-25,47,346,361.857142857143
2023-09-26,50,337,361.428571428571
2023-09-27,47,328,360.428571428571
2023-09-28,65,339,360
2023-09-29,64,354,359.428571428571
2023-09-30,53,360,358.142857142857
2023-10-01,49,375,358.857142857143
2023-10-02,30,358,357.714285714286
2023-10-03,63,371,356.428571428571
2023-10-04,49,373,354
2023-10-05,50,358,353.571428571429
2023-10-06,68,362,352.428571428571
2023-10-07,60,369,350.571428571429
2023-10-08,54,374,348
2023-10-09,70,414,348
2023-10-10,59,410,347.857142857143
2023-10-11,65,426,350
2023-10-12,49,425,349.571428571429
2023-10-13,42,399,350.285714285714
2023-10-14,41,380,349.428571428571
2023-10-15,52,378,350.571428571429
2023-10-16,48,356,348.285714285714
2023-10-17,39,336,345.285714285714
2023-10-18,35,306,336.857142857143
2023-10-19,50,307,332.285714285714
2023-10-20,51,316,321.857142857143
2023-10-21,39,314,314.714285714286
2023-10-22,44,306,305.714285714286
2023-10-23,45,303,299
2023-10-24,31,295,293.428571428571
2023-10-25,36,296,290.142857142857
2023-10-26,30,276,282.571428571429
2023-10-27,30,255,278.142857142857
2023-10-28,26,242,271.714285714286
2023-10-29,34,232,266
2023-10-30,22,209,263.142857142857
2023-10-31,30,208,259
2023-11-01,41,213,256.428571428571
2023-11-02,40,223,257.714285714286
2023-11-03,37,230,257
2023-11-04,43,247,257.142857142857
2023-11-05,28,241,256.714285714286
2023-11-06,29,248,251.714285714286
2023-11-07,31,249,248.857142857143
2023-11-08,43,251,248.857142857143
2023-11-09,45,256,246.428571428571
2023-11-10,39,258,245.857142857143
2023-11-11,35,250,244.857142857143
2023-11-12,30,252,242.571428571429
2023-11-13,37,260,245.142857142857
2023-11-14,36,265,243.571428571429
2023-11-15,35,257,239.857142857143
2023-11-16,43,255,238.714285714286
2023-11-17,35,251,237.428571428571
2023-11-18,41,257,238
2023-11-19,31,258,237.571428571429
2023-11-20,26,247,233.142857142857
2023-11-21,37,248,231.142857142857
2023-11-22,33,246,228.714285714286
2023-11-23,33,236,226.142857142857
2023-11-24,32,233,224.714285714286
2023-11-25,32,224,222
